"operation","dex-mean","dex-stdev","dex-min","dex-max"
"OperationOpenGraph","1.89556705E8","0.0","1.89556705E8","1.89556705E8"
"OperationDoGC","1.3972905913714285E9","3.245344989778405E7","1.387446345E9","1.58442781E9"
"OperationGetManyVertices","305807.0","0.0","305807.0","305807.0"
"OperationGetManyEdges","410584.0","0.0","410584.0","410584.0"
"OperationGetFirstNeighbor-out","136584.11","17599.439310895672","100308.0","190997.0"
"OperationGetAllNeighbors-out","129097.21","23768.704448621087","77420.0","195448.0"
"OperationGetFirstNeighbor-in","119547.85","17561.79807899806","98042.0","175618.0"
"OperationGetAllNeighbors-in","120071.87","20837.81785919773","73206.0","205304.0"
"OperationGetFirstNeighbor-both","156568.86","25700.22450680928","120254.0","237152.0"
"OperationGetAllNeighbors-both","160813.31","27974.03421843013","120519.0","234301.0"
"OperationGetKHopNeighbors-out-1","126337.73","20549.869163016585","78506.0","192182.0"
"OperationGetKHopNeighbors-out-2","215038.68","49490.31071369022","83082.0","328004.0"
"OperationGetKHopNeighbors-out-3","355815.87","114029.32767991358","158384.0","606413.0"
"OperationGetKHopNeighbors-out-4","530947.34","302956.6886396873","99374.0","1377442.0"
"OperationGetKHopNeighbors-out-5","995206.95","640806.192755569","94996.0","3290143.0"
"OperationGetKHopNeighbors-in-1","127905.57","17830.46898444065","79634.0","172048.0"
"OperationGetKHopNeighbors-in-2","213734.88","94885.18289282898","108477.0","715360.0"
"OperationGetKHopNeighbors-in-3","397086.14","201784.78345033948","194234.0","1231679.0"
"OperationGetKHopNeighbors-in-4","589598.62","480208.7796704842","148018.0","2778045.0"
"OperationGetKHopNeighbors-in-5","1037022.87","2234461.613395046","154555.0","2.0040789E7"
"OperationGetKHopNeighbors-both-1","144683.36","23464.347036523304","94640.0","203957.0"
"OperationGetKHopNeighbors-both-2","332373.59","135531.49345979295","128423.0","832391.0"
"OperationGetKHopNeighbors-both-3","1459551.17","1358325.4893718446","241930.0","9836163.0"
"OperationGetKHopNeighbors-both-4","6371325.85","6549421.436587656","245916.0","2.9428085E7"
"OperationGetKHopNeighbors-both-5","2.607047618E7","3.831284077995776E7","300903.0","2.94893977E8"
"OperationGetManyVertexProperties-title","4949932.0","0.0","4949932.0","4949932.0"
"OperationGetManyVertexProperties-salesrank","3854644.0","0.0","3854644.0","3854644.0"
"OperationGetManyVertexProperties-group","4256235.0","0.0","4256235.0","4256235.0"
"OperationGetManyVertexPropertySets","8327881.0","0.0","8327881.0","8327881.0"
"OperationGetVerticesUsingKeyIndex-_original_id","146815.05","25218.640835451468","100810.0","284900.0"
"OperationGetVerticesUsingKeyIndex-title","193976.66666666666","28378.585352445964","158656.0","273681.0"
"OperationGetVerticesUsingKeyIndex-salesrank","153082.9898989899","23078.790480226664","118443.0","199968.0"
"OperationGetVerticesUsingKeyIndex-group","7171755.75","6421607.508148812","1933132.0","1.7769288E7"
"OperationGetShortestPath","2.18259322499E9","1.2004110778288498E9","1.0327426E7","4.40553897E9"
"OperationLocalClusteringCoefficient","427155.51","159384.9217156689","178620.0","1018813.0"
"OperationShutdownGraph","8.1632218E7","0.0","8.1632218E7","8.1632218E7"
