operation                                       dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                    189.557            0.000       189.557         189.557    
OperationDoGC                                        1397.291           32.453      1387.446        1584.428    
OperationGetManyVertices                                0.306            0.000         0.306           0.306    
OperationGetManyEdges                                   0.411            0.000         0.411           0.411    
OperationGetFirstNeighbor-out                           0.137            0.018         0.100           0.191    
OperationGetAllNeighbors-out                            0.129            0.024         0.077           0.195    
OperationGetFirstNeighbor-in                            0.120            0.018         0.098           0.176    
OperationGetAllNeighbors-in                             0.120            0.021         0.073           0.205    
OperationGetFirstNeighbor-both                          0.157            0.026         0.120           0.237    
OperationGetAllNeighbors-both                           0.161            0.028         0.121           0.234    
OperationGetKHopNeighbors-out-1                         0.126            0.021         0.079           0.192    
OperationGetKHopNeighbors-out-2                         0.215            0.049         0.083           0.328    
OperationGetKHopNeighbors-out-3                         0.356            0.114         0.158           0.606    
OperationGetKHopNeighbors-out-4                         0.531            0.303         0.099           1.377    
OperationGetKHopNeighbors-out-5                         0.995            0.641         0.095           3.290    
OperationGetKHopNeighbors-in-1                          0.128            0.018         0.080           0.172    
OperationGetKHopNeighbors-in-2                          0.214            0.095         0.108           0.715    
OperationGetKHopNeighbors-in-3                          0.397            0.202         0.194           1.232    
OperationGetKHopNeighbors-in-4                          0.590            0.480         0.148           2.778    
OperationGetKHopNeighbors-in-5                          1.037            2.234         0.155          20.041    
OperationGetKHopNeighbors-both-1                        0.145            0.023         0.095           0.204    
OperationGetKHopNeighbors-both-2                        0.332            0.136         0.128           0.832    
OperationGetKHopNeighbors-both-3                        1.460            1.358         0.242           9.836    
OperationGetKHopNeighbors-both-4                        6.371            6.549         0.246          29.428    
OperationGetKHopNeighbors-both-5                       26.070           38.313         0.301         294.894    
OperationGetManyVertexProperties-title                  4.950            0.000         4.950           4.950    
OperationGetManyVertexProperties-salesrank              3.855            0.000         3.855           3.855    
OperationGetManyVertexProperties-group                  4.256            0.000         4.256           4.256    
OperationGetManyVertexPropertySets                      8.328            0.000         8.328           8.328    
OperationGetVerticesUsingKeyIndex-_original_id          0.147            0.025         0.101           0.285    
OperationGetVerticesUsingKeyIndex-title                 0.194            0.028         0.159           0.274    
OperationGetVerticesUsingKeyIndex-salesrank             0.153            0.023         0.118           0.200    
OperationGetVerticesUsingKeyIndex-group                 7.172            6.422         1.933          17.769    
OperationGetShortestPath                             2182.593         1200.411        10.327        4405.539    
OperationLocalClusteringCoefficient                     0.427            0.159         0.179           1.019    
OperationShutdownGraph                                 81.632            0.000        81.632          81.632    
