operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                452.242            0.000       452.242         452.242    
OperationDoGC                                    1411.296           44.598      1394.613        1571.768    
OperationGetManyVertices                            0.159            0.044         0.101           0.259    
OperationGetManyEdges                               0.228            0.023         0.137           0.322    
OperationGetFirstNeighbor-out                       0.130            0.016         0.090           0.176    
OperationGetAllNeighbors-out                        0.123            0.017         0.093           0.166    
OperationGetFirstNeighbor-in                        0.126            0.021         0.093           0.183    
OperationGetAllNeighbors-in                         0.130            0.018         0.098           0.182    
OperationGetFirstNeighbor-both                      0.151            0.026         0.121           0.269    
OperationGetAllNeighbors-both                       0.166            0.029         0.116           0.265    
OperationGetManyVertexProperties-title              2.496            0.268         1.513           3.491    
OperationGetManyVertexProperties-salesrank          1.921            0.207         1.043           2.618    
OperationGetManyVertexProperties-group              1.787            0.367         0.916           2.717    
OperationGetManyVertexPropertySets                  4.905            0.625         2.457           5.601    
OperationShutdownGraph                            163.574            0.000       163.574         163.574    
