"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","306117751","DONE","465488","0","0"
"4409","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1458434107","DONE","23019975","8","0"
"4410","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1395155446","DONE","23023399","8","0"
"1","OperationGetManyVertices","com.tinkerpop.bench.operation.operations.OperationGetManyVertices$DEX","[100]","283065","100","23488823","0","0"
"4411","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1402611347","DONE","23023591","8","1"
"2","OperationGetManyEdges","com.tinkerpop.bench.operation.operations.OperationGetManyEdges$DEX","[100]","352790","100","23488935","0","0"
"4412","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1392033992","DONE","23023703","8","0"
"3","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[11366, OUT]","425270","1:1:1:1","23489047","0","0"
"4","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[111200, OUT]","134098","1:1:1:1","23489207","0","0"
"5","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1361869, OUT]","122871","1:1:1:1","23489279","0","0"
"6","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[211694, OUT]","137933","1:1:1:1","23489343","0","0"
"7","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1365706, OUT]","152855","1:1:1:1","23489407","0","0"
"8","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[94092, OUT]","145338","1:1:1:1","23489471","0","0"
"9","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[177992, OUT]","167303","1:1:1:1","23489527","0","0"
"10","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1360060, OUT]","130376","1:1:1:1","23489599","0","0"
"11","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[159094, OUT]","131932","1:1:1:1","23489663","0","0"
"12","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[229795, OUT]","136379","1:1:1:1","23489727","0","0"
"13","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[174721, OUT]","137240","1:1:1:1","23489791","0","0"
"14","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[126577, OUT]","135124","1:1:1:1","23489855","0","0"
"15","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[111592, OUT]","153303","1:1:1:1","23489919","0","0"
"16","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1368257, OUT]","136006","1:1:1:1","23489983","0","0"
"17","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[153494, OUT]","129793","1:1:1:1","23490047","0","0"
"18","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[153982, OUT]","133721","1:1:1:1","23490111","0","0"
