"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","460436239","DONE","24037943","0","0"
"1601","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1404603851","DONE","21593191","8","1"
"1602","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1391482777","DONE","21593359","8","0"
"1","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[169656, 1, OUT]","161662","5:1:1:5","22989399","0","0"
"2","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[114816, 1, OUT]","168886","5:1:1:5","22989567","0","0"
"3","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[64714, 1, OUT]","131393","5:1:1:5","22989631","0","0"
"4","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[151507, 1, OUT]","142508","5:1:1:5","22989695","0","0"
"5","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[214755, 1, OUT]","135330","5:1:1:5","22989759","0","0"
"6","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[1349456, 1, OUT]","129790","5:1:1:5","22989823","0","0"
"7","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[72141, 1, OUT]","130845","4:1:1:4","22989895","0","0"
"8","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[133553, 1, OUT]","140177","5:1:1:5","22989951","0","0"
"9","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[202776, 1, OUT]","130670","5:1:1:5","22990015","0","0"
"10","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[226855, 1, OUT]","131379","5:1:1:5","22990079","0","0"
"11","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[103081, 1, OUT]","130134","5:1:1:5","22990143","0","0"
"12","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[94566, 1, OUT]","139911","5:1:1:5","22990207","0","0"
"13","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[49994, 1, OUT]","132734","3:1:1:3","22990271","0","0"
