"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","189556705","DONE","25302719","0","0"
"2609","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1414694010","DONE","22090239","8","0"
"2610","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1390877074","DONE","22090407","8","1"
"1","OperationGetManyVertices","com.tinkerpop.bench.operation.operations.OperationGetManyVertices$DEX","[100]","305807","100","23486407","0","0"
"2611","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1393620848","DONE","22090599","8","1"
"2","OperationGetManyEdges","com.tinkerpop.bench.operation.operations.OperationGetManyEdges$DEX","[100]","410584","100","23486519","0","0"
"2612","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1390305782","DONE","22090711","8","0"
"3","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[185538, OUT]","143933","1:1:1:1","23486631","0","0"
"4","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[180932, OUT]","143971","1:1:1:1","23486799","0","0"
"5","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[59884, OUT]","160752","1:1:1:1","23486863","0","0"
"6","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[53266, OUT]","136223","1:1:1:1","23486919","0","0"
"7","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[18619, OUT]","142168","1:1:1:1","23486983","0","0"
"8","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[206184, OUT]","137429","1:1:1:1","23487047","0","0"
"9","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[178482, OUT]","137324","1:1:1:1","23487119","0","0"
"10","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[147627, OUT]","182534","1:1:1:1","23487183","0","0"
"11","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[224823, OUT]","133558","1:1:1:1","23487247","0","0"
"12","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[108033, OUT]","161854","1:1:1:1","23487311","0","0"
