"operation","dex-mean","dex-stdev","dex-min","dex-max"
"OperationOpenGraph","8.17601115E8","0.0","8.17601115E8","8.17601115E8"
"OperationDoGC","1.3909433457222223E9","5270567.647761006","1.384508152E9","1.407493666E9"
"OperationGetKHopNeighbors-out-1","112291.8","15516.337982913365","90488.0","150202.0"
"OperationGetKHopNeighbors-out-2","350546.2","92183.56243984064","130072.0","532966.0"
"OperationGetKHopNeighbors-out-3","850932.23","390830.36511603993","92146.0","1953338.0"
"OperationGetKHopNeighbors-out-4","2326938.65","1510924.2825283164","298866.0","7692544.0"
"OperationGetKHopNeighbors-out-5","5772663.5","4178285.2197141866","86653.0","1.7595738E7"
"OperationGetKHopNeighbors-in-1","121391.48","23798.170038673146","88944.0","269440.0"
"OperationGetKHopNeighbors-in-2","369738.02","233025.8367208658","154574.0","1746929.0"
"OperationGetKHopNeighbors-in-3","975998.08","1341119.5154309748","183243.0","1.0444885E7"
"OperationGetKHopNeighbors-in-4","2286319.01","2974242.0375506175","230520.0","1.961403E7"
"OperationGetKHopNeighbors-in-5","5350880.74","6055383.272354165","377591.0","4.1705956E7"
"OperationGetKHopNeighbors-both-1","126846.45","27301.59179365738","87549.0","258520.0"
"OperationGetKHopNeighbors-both-2","1020034.76","1073415.221974415","159763.0","7782000.0"
"OperationGetKHopNeighbors-both-3","8453764.38","1.0066512966485672E7","350444.0","5.3862407E7"
"OperationGetKHopNeighbors-both-4","4.722042832E7","6.699668869517471E7","409655.0","3.7727731E8"
"OperationGetKHopNeighbors-both-5","2.224803026E8","2.087652714141704E8","1763556.0","1.178137832E9"
"OperationLocalClusteringCoefficient","1324816.43","1431358.4446097582","195504.0","7493285.0"
"OperationShutdownGraph","1.79289923E8","0.0","1.79289923E8","1.79289923E8"
