"operation","dex-mean","dex-stdev","dex-min","dex-max"
"OperationOpenGraph","9.39182492E8","0.0","9.39182492E8","9.39182492E8"
"OperationDoGC","1.4231139359285715E9","6.602196422337441E7","1.400578289E9","1.660707765E9"
"OperationGetManyVertices","182179.57","32819.969121330694","107443.0","245071.0"
"OperationGetManyEdges","247910.34","14410.18880946395","155518.0","295001.0"
"OperationGetFirstNeighbor-out","128977.38","16290.510809535719","94106.0","177114.0"
"OperationGetAllNeighbors-out","129087.91","21475.08509091175","94796.0","201241.0"
"OperationGetFirstNeighbor-in","139554.73","15122.529732723291","102634.0","205075.0"
"OperationGetAllNeighbors-in","133221.58","21866.992785099643","80885.0","209267.0"
"OperationGetFirstNeighbor-both","162885.3","30445.47840139813","112914.0","284629.0"
"OperationGetAllNeighbors-both","182916.94","24845.556517743764","128404.0","259936.0"
"OperationGetManyVertexProperties-title","2446104.51","552486.7044084137","1272820.0","3407427.0"
"OperationGetManyVertexProperties-salesrank","1743794.45","524940.66366193","902600.0","2929660.0"
"OperationGetManyVertexProperties-group","2185016.38","345532.742291256","929153.0","3510837.0"
"OperationGetManyVertexPropertySets","5390292.6","775627.0133342055","2723905.0","8431616.0"
"OperationShutdownGraph","1.00189021E8","0.0","1.00189021E8","1.00189021E8"
