"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","148010940","DONE","465352","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1417481846","DONE","21086703","8","0"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1377269577","DONE","21079487","8","1"
"1","OperationAddManyVertices","com.tinkerpop.bench.operation.operations.OperationAddManyVertices$DEX","[100]","1724418","100","21544911","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1390096672","DONE","21096967","8","1"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1373973798","DONE","21096887","8","0"
"4","OperationSetManyVertexProperties","com.tinkerpop.bench.operation.operations.OperationSetManyVertexProperties$DEX","[_property, 100]","3586429","100","21562311","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1380575559","DONE","21106391","8","0"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1373513378","DONE","21106295","8","1"
"7","OperationAddManyEdges","com.tinkerpop.bench.operation.operations.OperationAddManyEdges$DEX","[100]","10293105","100","21571719","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1383139750","DONE","21125831","8","1"
"12","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1376569045","DONE","21125751","8","1"
"10","OperationSetManyEdgeProperties","com.tinkerpop.bench.operation.operations.OperationSetManyEdgeProperties$DEX","[_property, 100]","3431342","100","21591175","0","0"
"13","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","1170402377","DONE","21591175","0","0"
"14","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1384987731","DONE","21125815","8","0"
