"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","43756267","DONE","23378583","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1384071121","DONE","21051479","8","1"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1372429064","DONE","21051655","8","1"
"1","OperationCreateKeyIndex-vertex-title","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, title]","3767873673","DONE","22447687","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1377017807","DONE","21052063","8","1"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1372262778","DONE","21052015","8","0"
"4","OperationCreateKeyIndex-vertex-salesrank","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, salesrank]","605352400","DONE","22448047","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1376395769","DONE","21052391","8","1"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1370465768","DONE","21052335","8","1"
"7","OperationCreateKeyIndex-vertex-group","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, group]","460304384","DONE","22448367","0","0"
"10","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","3370660573","DONE","22448367","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1379596400","DONE","21052679","8","0"
