operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                              20333.647            0.000     20333.647       20333.647    
OperationDoGC                                    1391.033            6.044      1384.461        1412.868    
OperationGetKHopNeighbors-out-1                    18.231           12.305         0.095          89.359    
OperationGetKHopNeighbors-out-2                    95.063          140.366         0.086         949.105    
OperationGetKHopNeighbors-out-3                   381.485         1028.685         0.086        7941.406    
OperationGetKHopNeighbors-out-4                  2162.525        11048.833         0.084      106445.690    
OperationGetKHopNeighbors-out-5                  3147.145        14298.313         0.081      106568.920    
OperationGetKHopNeighbors-in-1                     16.071           12.308         4.819         126.286    
OperationGetKHopNeighbors-in-2                     69.527           16.743        34.348         135.596    
OperationGetKHopNeighbors-in-3                    234.822           43.983       113.298         359.816    
OperationGetKHopNeighbors-in-4                    546.868          226.651        30.627        1019.293    
OperationGetKHopNeighbors-in-5                    525.688          416.346         6.495        1712.650    
OperationGetKHopNeighbors-both-1                   14.176            9.562         0.125          82.757    
OperationGetKHopNeighbors-both-2                  154.454          125.750        43.278         838.817    
OperationGetKHopNeighbors-both-3                 1532.171         1188.662       423.406       10388.117    
OperationGetKHopNeighbors-both-4                21529.236        22299.473      4000.376      127380.317    
OperationGetKHopNeighbors-both-5               243938.147       256008.203     54164.896     1190091.655    
OperationGetKHopNeighbors-out-withlabel-1           2.232            6.286         0.070          53.527    
OperationGetKHopNeighbors-out-withlabel-2          10.548           26.409         0.076         205.172    
OperationGetKHopNeighbors-out-withlabel-3          49.927          143.226         0.077        1165.600    
OperationGetKHopNeighbors-out-withlabel-4         172.692          648.290         0.074        4368.056    
OperationGetKHopNeighbors-out-withlabel-5         204.933          633.883         0.071        3648.034    
OperationGetKHopNeighbors-in-withlabel-1            4.874            5.137         0.073          23.486    
OperationGetKHopNeighbors-in-withlabel-2           23.466           12.039         0.251          62.313    
OperationGetKHopNeighbors-in-withlabel-3           58.045           34.071         0.737         175.674    
OperationGetKHopNeighbors-in-withlabel-4          138.157           89.400         1.878         361.918    
OperationGetKHopNeighbors-in-withlabel-5          216.413          183.170         4.982         774.300    
OperationGetKHopNeighbors-both-withlabel-1          5.565            5.792         0.116          22.477    
OperationGetKHopNeighbors-both-withlabel-2         55.023           38.735         6.220         297.896    
OperationGetKHopNeighbors-both-withlabel-3        875.478         1062.825       196.094        7054.627    
OperationGetKHopNeighbors-both-withlabel-4      15803.833        39764.082      2677.409      394879.521    
OperationGetKHopNeighbors-both-withlabel-5     188251.345       193528.405     36113.010     1138231.056    
OperationLocalClusteringCoefficient                62.555           34.907        10.731         238.994    
OperationShutdownGraph                            696.876            0.000       696.876         696.876    
