"operation","dex-mean","dex-stdev","dex-min","dex-max"
"OperationOpenGraph","2.0618080774E10","0.0","2.0618080774E10","2.0618080774E10"
"OperationDoGC","1.4170383324444444E9","3.93099515212054E7","1.39983515E9","1.578425288E9"
"OperationGetManyVertices","323714.53","23181.831065925315","204009.0","385577.0"
"OperationGetManyEdges","353940.6","59043.47572509599","263678.0","427272.0"
"OperationGetFirstNeighbor-out","2.050658609E7","1.5169012700201206E7","92994.0","1.33168492E8"
"OperationGetAllNeighbors-out","1.858701756E7","1.1924197460405089E7","97942.0","8.4392624E7"
"OperationGetNeighborEdgeConditional-out","6.091272823E7","6.88978493270372E7","102484.0","4.3418148E8"
"OperationGetFirstNeighbor-in","1.473400884E7","8315059.481824945","133640.0","7.1591544E7"
"OperationGetAllNeighbors-in","1.355040892E7","7805561.554236729","135336.0","7.2293773E7"
"OperationGetNeighborEdgeConditional-in","2.09348469E7","1.0546788758611836E7","188899.0","9.0500969E7"
"OperationGetFirstNeighbor-both","2.948506373E7","1.0984740784110334E7","223390.0","5.4842085E7"
"OperationGetAllNeighbors-both","2.780610944E7","1.1332487833675783E7","170379.0","7.6667018E7"
"OperationGetNeighborEdgeConditional-both","8.21918427E7","9.145876149261296E7","341863.0","7.0712235E8"
"OperationGetManyVertexProperties-name","4.9973294093E8","1.734545715490444E8","3.14024686E8","1.342392422E9"
"OperationGetManyVertexProperties-age","3.909490328E8","1.652152070767255E8","1.71546988E8","8.50602834E8"
"OperationGetManyEdgeProperties-time","7.3290503518E8","1.0873079869240974E8","5.41390761E8","9.92500362E8"
"OperationGetManyVertexPropertySets","3.246373713E8","8.148555152289003E7","1.79581372E8","5.23775344E8"
"OperationGetManyEdgePropertySets","5.3585764476E8","5.6487890103444375E7","4.04882566E8","6.94336698E8"
"OperationShutdownGraph","3.29693609E8","0.0","3.29693609E8","3.29693609E8"
