"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","181076874","DONE","465376","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1392204522","DONE","21074287","8","0"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1378226551","DONE","21067063","8","0"
"1","OperationAddManyVertices","com.tinkerpop.bench.operation.operations.OperationAddManyVertices$DEX","[100]","1724506","100","21532487","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1382729643","DONE","21084543","8","0"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1376752475","DONE","21084463","8","1"
"4","OperationSetManyVertexProperties","com.tinkerpop.bench.operation.operations.OperationSetManyVertexProperties$DEX","[_property, 100]","2296426","100","21549887","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1382607748","DONE","21093975","8","0"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1377636860","DONE","21093879","8","1"
"7","OperationAddManyEdges","com.tinkerpop.bench.operation.operations.OperationAddManyEdges$DEX","[100]","5462187","100","21559303","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1381699523","DONE","21113415","8","0"
"12","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1379068997","DONE","21113335","8","0"
"10","OperationSetManyEdgeProperties","com.tinkerpop.bench.operation.operations.OperationSetManyEdgeProperties$DEX","[_property, 100]","3267853","100","21578759","0","0"
"13","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","184782720","DONE","21578759","0","0"
"14","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1391070442","DONE","21113399","8","0"
