"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","20333646530","DONE","24693535","0","0"
"3101","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1412867794","DONE","22135999","8","1"
"3102","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1388356573","DONE","21990103","8","1"
"1","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[3021973, 1, OUT]","40848368","1:1:1:1","23386143","0","0"
"2","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[54925658, 1, OUT]","121403","0:0:1:0","23386319","0","0"
"3","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[6794583, 1, OUT]","31687059","1:1:1:1","23386383","0","0"
"4","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[1637792, 1, OUT]","19368537","9:1:1:9","23386447","0","0"
"5","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[2444488, 1, OUT]","25186248","5:1:1:5","23386511","0","0"
"6","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[142834, 1, OUT]","27771155","22:1:1:22","23386575","0","0"
"7","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[54813140, 1, OUT]","10258448","1:1:1:1","23386639","0","0"
"8","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[2269766, 1, OUT]","35413069","6:1:1:6","23386711","0","0"
"9","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[8847388, 1, OUT]","5031174","1:1:1:1","23386775","0","0"
"10","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[8098085, 1, OUT]","15563590","1:1:1:1","23386839","0","0"
"11","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[510894, 1, OUT]","28865036","17:1:1:17","23386903","0","0"
"12","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[4830731, 1, OUT]","34228836","2:1:1:2","23386967","0","0"
"13","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[4272983, 1, OUT]","31618447","3:1:1:3","23387039","0","0"
"14","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[4338415, 1, OUT]","22209365","6:1:1:6","23387103","0","0"
"15","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[4341689, 1, OUT]","21897098","7:1:1:7","23387167","0","0"
"16","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[3835670, 1, OUT]","30033033","8:1:1:8","23387231","0","0"
"17","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[3333513, 1, OUT]","33718192","3:1:1:3","23387295","0","0"
