"operation","dex-mean","dex-stdev","dex-min","dex-max"
"OperationOpenGraph","2.4125242226E10","0.0","2.4125242226E10","2.4125242226E10"
"OperationDoGC","1.385696593E9","4826731.348818937","1.377477752E9","1.4027044E9"
"OperationGetKHopNeighbors-out-1","2.932274179E7","1.7919179252773233E7","135087.0","1.00811518E8"
"OperationGetKHopNeighbors-out-2","1.3483713395E8","1.9179731311866015E8","108398.0","9.83781075E8"
"OperationGetKHopNeighbors-out-3","9.06081221E8","3.5447708824859953E9","91864.0","2.9716816139E10"
"OperationGetKHopNeighbors-out-4","3.4030801781E9","1.2537461071035593E10","90465.0","1.06407793718E11"
"OperationGetKHopNeighbors-in-1","2.640188625E7","9527082.673279222","211873.0","6.6379424E7"
"OperationGetKHopNeighbors-in-2","1.2767353898E8","2.6284213844110537E7","8.0430396E7","2.24682757E8"
"OperationGetKHopNeighbors-in-3","4.5501803962E8","8.528459015544418E7","1.95525852E8","6.96348509E8"
"OperationGetKHopNeighbors-in-4","9.4353816495E8","4.2659534950067526E8","1.3953842E7","1.886335285E9"
"OperationGetKHopNeighbors-both-1","3.232718345E7","1.5432357251396468E7","201087.0","1.14103255E8"
"OperationGetKHopNeighbors-both-2","3.697349236E8","2.902726424488986E8","1.28338399E8","2.008236577E9"
"OperationGetKHopNeighbors-both-3","4.15331763247E9","3.751832731603789E9","8.95683527E8","3.1068105396E10"
"OperationGetKHopNeighbors-both-4","5.595834924527E10","1.1240254318826587E11","7.947838682E9","1.106081723194E12"
"OperationGetKHopNeighbors-out-withlabel-1","5468950.19","6276075.732112075","69957.0","2.6020554E7"
"OperationGetKHopNeighbors-out-withlabel-2","1.569380759E7","1.9149235810794525E7","67627.0","7.7688832E7"
"OperationGetKHopNeighbors-out-withlabel-3","4.141257241E7","7.213804033984102E7","75750.0","4.93094991E8"
"OperationGetKHopNeighbors-out-withlabel-4","8.220100237E7","2.686204971362054E8","68002.0","2.460304654E9"
"OperationGetKHopNeighbors-in-withlabel-1","8052563.48","9247421.943033447","75082.0","7.4733074E7"
"OperationGetKHopNeighbors-in-withlabel-2","1.899527926E7","1.6766974866777321E7","94051.0","1.18540015E8"
"OperationGetKHopNeighbors-in-withlabel-3","3.252917375E7","2.6008685393421E7","91128.0","1.7186944E8"
"OperationGetKHopNeighbors-in-withlabel-4","4.763526018E7","3.256458370124033E7","360722.0","1.51315545E8"
"OperationGetKHopNeighbors-both-withlabel-1","1.155067786E7","7951963.624110832","110112.0","3.6292627E7"
"OperationGetKHopNeighbors-both-withlabel-2","5.116416019E7","2.8282576645988144E7","4022472.0","1.31837266E8"
"OperationGetKHopNeighbors-both-withlabel-3","4.8618047077E8","5.945276915015138E8","3.4141495E7","4.904999297E9"
"OperationGetKHopNeighbors-both-withlabel-4","2.59939088834E9","2.4044515398616657E9","4.3389278E7","1.1953508035E10"
"OperationLocalClusteringCoefficient","2.2296139733E8","1.209272517706971E8","8.1940923E7","8.47832968E8"
"OperationShutdownGraph","7.53866073E8","0.0","7.53866073E8","7.53866073E8"
