operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                              24125.242            0.000     24125.242       24125.242    
OperationDoGC                                    1385.697            4.827      1377.478        1402.704    
OperationGetKHopNeighbors-out-1                    29.323           17.919         0.135         100.812    
OperationGetKHopNeighbors-out-2                   134.837          191.797         0.108         983.781    
OperationGetKHopNeighbors-out-3                   906.081         3544.771         0.092       29716.816    
OperationGetKHopNeighbors-out-4                  3403.080        12537.461         0.090      106407.794    
OperationGetKHopNeighbors-in-1                     26.402            9.527         0.212          66.379    
OperationGetKHopNeighbors-in-2                    127.674           26.284        80.430         224.683    
OperationGetKHopNeighbors-in-3                    455.018           85.285       195.526         696.349    
OperationGetKHopNeighbors-in-4                    943.538          426.595        13.954        1886.335    
OperationGetKHopNeighbors-both-1                   32.327           15.432         0.201         114.103    
OperationGetKHopNeighbors-both-2                  369.735          290.273       128.338        2008.237    
OperationGetKHopNeighbors-both-3                 4153.318         3751.833       895.684       31068.105    
OperationGetKHopNeighbors-both-4                55958.349       112402.543      7947.839     1106081.723    
OperationGetKHopNeighbors-out-withlabel-1           5.469            6.276         0.070          26.021    
OperationGetKHopNeighbors-out-withlabel-2          15.694           19.149         0.068          77.689    
OperationGetKHopNeighbors-out-withlabel-3          41.413           72.138         0.076         493.095    
OperationGetKHopNeighbors-out-withlabel-4          82.201          268.620         0.068        2460.305    
OperationGetKHopNeighbors-in-withlabel-1            8.053            9.247         0.075          74.733    
OperationGetKHopNeighbors-in-withlabel-2           18.995           16.767         0.094         118.540    
OperationGetKHopNeighbors-in-withlabel-3           32.529           26.009         0.091         171.869    
OperationGetKHopNeighbors-in-withlabel-4           47.635           32.565         0.361         151.316    
OperationGetKHopNeighbors-both-withlabel-1         11.551            7.952         0.110          36.293    
OperationGetKHopNeighbors-both-withlabel-2         51.164           28.283         4.022         131.837    
OperationGetKHopNeighbors-both-withlabel-3        486.180          594.528        34.141        4904.999    
OperationGetKHopNeighbors-both-withlabel-4       2599.391         2404.452        43.389       11953.508    
OperationLocalClusteringCoefficient               222.961          120.927        81.941         847.833    
OperationShutdownGraph                            753.866            0.000       753.866         753.866    
