"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","232446006","DONE","465360","0","0"
"101","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1419306686","DONE","21079239","8","0"
"102","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1375075107","DONE","21081647","8","1"
"1","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[4248, 7866]","265623230","10000:5:8641:92244","25312303","0","0"
"2","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[7959, 9248]","76363049","7884:3:1245:19941","25187255","0","0"
"3","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[7249, 7917]","138100383","10000:4:6677:80087","26437399","0","0"
"4","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[3668, 55299]","147391696","10000:4:8630:91960","26979287","0","0"
"5","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[4642, 3638]","72784092","9878:4:3396:52896","26083391","0","0"
"6","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[2003, 1210]","17760033","5282:3:383:10223","23347543","0","0"
"7","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[5251, 2028]","50981226","9550:4:2545:40337","23506951","0","0"
"8","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[7085, 5767]","146192810","10000:5:8699:91973","25921863","0","0"
"9","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[10172, 5830]","119544378","9996:5:6451:77920","27063127","0","0"
"10","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[10109, 5017]","68726127","9799:4:3080:49363","25627103","0","0"
"11","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[6658, 4372]","81498629","9943:4:3976:58894","24694223","0","0"
"12","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[6183, 6958]","92574921","9977:4:4815:65082","25458999","0","0"
"13","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[7306, 7396]","105483243","9992:4:5220:68356","25673839","0","0"
"14","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[10054, 5309]","80811606","9958:4:4309:61884","25242311","0","0"
"15","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[4870, 3765]","65986528","9888:4:3383:53176","25009159","0","0"
"16","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[8758, 6116]","136027502","10000:5:8235:89368","26168215","0","0"
"17","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[6594, 1395]","39806212","8954:4:1853:29550","25517975","0","0"
"18","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[9787, 6937]","125599266","10000:5:7419:84788","25381343","0","0"
"19","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[6639, 2429]","44307953","9376:4:2007:37006","25410319","0","0"
"20","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[10139, 7474]","100394782","9995:4:5303:68951","24885631","0","0"
"21","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[5051, 1907]","45022849","9342:4:2122:35992","24798807","0","0"
"22","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[8711, 7421]","117906653","9997:4:6427:78571","25349479","0","0"
"23","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[5555, 9137]","149599496","10000:5:9101:95041","27018095","0","0"
"24","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[4836, 2161]","22171621","7459:3:738:19009","25274919","0","0"
"25","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[1145, 8306]","144229729","10000:4:8368:90806","25582559","0","0"
"26","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[8208, 7537]","95143557","9968:4:4713:62915","26584599","0","0"
"27","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[2808, 4025]","76536534","9934:4:3873:57656","25082519","0","0"
"28","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[1576, 3123]","41413255","9358:3:1904:36813","24433359","0","0"
"29","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[4959, 4396]","27145478","8235:3:1143:22748","23432919","0","0"
"30","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[5243, 4212]","82546328","9949:4:4307:61172","24634199","0","0"
"31","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[3366, 6373]","103596785","9995:4:5834:74315","25444271","0","0"
"32","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[6368, 5561]","32312717","8076:3:1148:21499","24439271","0","0"
"33","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[10210, 6027]","90141590","9983:4:4877:66709","24666823","0","0"
"34","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[3156, 5011]","83650836","9973:4:4610:64465","25590439","0","0"
"35","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[5960, 7094]","105515240","9994:4:6012:75598","26018615","0","0"
"36","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[1619, 6164]","105276027","9993:4:6032:75449","26346503","0","0"
"37","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[1793, 8688]","56947091","9743:3:3050:44199","25452199","0","0"
"38","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[9982, 7481]","1118135","658:2:36:727","22331079","0","0"
"39","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[9413, 6911]","95278987","9988:4:5227:68959","25085255","0","0"
"40","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[7430, 7193]","103571104","9993:4:5813:73667","25711703","0","0"
"41","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[1859, 1981]","28733903","8045:3:951:22815","24465759","0","0"
"42","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[8777, 9219]","150165892","10000:5:9086:94999","25617879","0","0"
"43","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[6798, 55401]","159689100","10000:5:9820:98955","28064711","0","0"
"44","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[9372, 5487]","68344995","9903:4:3509:53267","26492487","0","0"
"45","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[5436, 1188]","32127851","8428:4:1511:24328","23876263","0","0"
"46","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[55462, 9177]","108207546","9997:4:6156:74449","24830903","0","0"
"47","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[7707, 9378]","154879660","10000:5:9327:96304","27346127","0","0"
"48","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[2899, 1029]","5937813","2711:3:199:3782","24404191","0","0"
"49","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[9472, 3678]","64763690","9794:4:2899:48328","25709327","0","0"
"50","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[7401, 8822]","126198520","9999:4:7406:84719","25550783","0","0"
"51","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[9714, 2568]","45010293","9475:4:2083:38426","25409799","0","0"
"52","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[3234, 3803]","87167083","9963:4:4643:62838","24907879","0","0"
"53","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[3814, 4301]","82092468","9942:4:4089:59682","25066839","0","0"
"54","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[7497, 4727]","75944113","9905:4:3662:55931","25026239","0","0"
"55","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[5384, 55768]","123853333","10000:4:7212:80765","25777695","0","0"
"56","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[4048, 8166]","144417195","10000:5:8549:91826","27151919","0","0"
"57","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[7362, 7863]","112422290","9999:4:6487:78633","27028919","0","0"
"58","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[6417, 8811]","49063632","9514:3:2581:38815","25105119","0","0"
"59","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[7651, 9251]","130374048","10000:4:7337:83589","25501303","0","0"
