"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","24125242226","DONE","24432887","0","0"
"2501","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1402704400","DONE","21926175","8","0"
"2502","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1384094927","DONE","21780279","8","1"
"1","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[2302238, 1, OUT]","75666996","9:1:1:9","23176319","0","0"
"2","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[221844, 1, OUT]","71199712","21:1:1:21","23176623","0","0"
"3","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[2011032, 1, OUT]","47035460","5:1:1:5","23176687","0","0"
"4","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[1796664, 1, OUT]","53446409","10:1:1:10","23176759","0","0"
"5","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[54477385, 1, OUT]","161935","0:0:1:0","23176831","0","0"
"6","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[5865875, 1, OUT]","41826416","3:1:1:3","23176895","0","0"
"7","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[54333843, 1, OUT]","135087","0:0:1:0","23176959","0","0"
"8","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[3542941, 1, OUT]","25481190","4:1:1:4","23177023","0","0"
"9","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[6481018, 1, OUT]","26384857","2:1:1:2","23177087","0","0"
"10","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[7621651, 1, OUT]","17370424","0:0:1:0","23177151","0","0"
"11","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[8852466, 1, OUT]","10999150","0:0:1:0","23177215","0","0"
"12","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[6856587, 1, OUT]","11667717","2:1:1:2","23177279","0","0"
"13","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[5514989, 1, OUT]","24262945","3:1:1:3","23177343","0","0"
"14","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[1008317, 1, OUT]","47581731","20:1:1:20","23177407","0","0"
"15","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[8456696, 1, OUT]","7435674","0:0:1:0","23177479","0","0"
"16","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[732652, 1, OUT]","53817298","27:1:1:27","23177543","0","0"
"17","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[6942810, 1, OUT]","13896162","0:0:1:0","23177607","0","0"
"18","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[3033654, 1, OUT]","43133432","8:1:1:8","23177679","0","0"
"19","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[54559242, 1, OUT]","9721928","0:0:1:0","23177743","0","0"
"20","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[6316479, 1, OUT]","38810762","2:1:1:2","23177807","0","0"
"21","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[7068682, 1, OUT]","21611698","0:0:1:0","23177871","0","0"
"22","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[3768190, 1, OUT]","30405184","3:1:1:3","23177935","0","0"
"23","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[7958545, 1, OUT]","30170038","2:1:1:2","23177999","0","0"
"24","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[8421552, 1, OUT]","4031678","0:0:1:0","23178063","0","0"
"25","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[5961670, 1, OUT]","26716204","2:1:1:2","23178127","0","0"
"26","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[8483426, 1, OUT]","8665756","0:0:1:0","23178191","0","0"
"27","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[4155364, 1, OUT]","30647298","4:1:1:4","23178255","0","0"
"28","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[7530672, 1, OUT]","11606568","0:0:1:0","23178319","0","0"
"29","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[3058537, 1, OUT]","23776142","8:1:1:8","23178383","0","0"
"30","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[1136169, 1, OUT]","47171008","15:1:1:15","23178447","0","0"
"31","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[4888098, 1, OUT]","3719142","2:1:1:2","23178519","0","0"
"32","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[7204371, 1, OUT]","23306332","1:1:1:1","23178583","0","0"
"33","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[5791794, 1, OUT]","36557097","5:1:1:5","23178647","0","0"
"34","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[3361342, 1, OUT]","43410913","4:1:1:4","23178711","0","0"
"35","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[8005656, 1, OUT]","5340514","1:1:1:1","23178775","0","0"
"36","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[5425485, 1, OUT]","21375699","3:1:1:3","23178839","0","0"
"37","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[1653495, 1, OUT]","50933746","12:1:1:12","23178903","0","0"
"38","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[1019182, 1, OUT]","28272213","5:1:1:5","23178975","0","0"
"39","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[7209966, 1, OUT]","13316479","0:0:1:0","23179039","0","0"
"40","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[4400431, 1, OUT]","41181362","4:1:1:4","23179103","0","0"
"41","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[7637500, 1, OUT]","8221391","0:0:1:0","23179167","0","0"
"42","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[2144173, 1, OUT]","45442647","6:1:1:6","23179231","0","0"
"43","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[6279708, 1, OUT]","26309652","3:1:1:3","23179295","0","0"
"44","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[1073726, 1, OUT]","52301505","10:1:1:10","23179359","0","0"
"45","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[2499653, 1, OUT]","23532285","7:1:1:7","23179431","0","0"
"46","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[4357728, 1, OUT]","100811518","3:1:1:3","23179495","0","0"
"47","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[8321151, 1, OUT]","36577471","1:1:1:1","23179567","0","0"
"48","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[6770308, 1, OUT]","15721381","2:1:1:2","23179623","0","0"
"49","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[672610, 1, OUT]","42235840","10:1:1:10","23179687","0","0"
"50","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[572208, 1, OUT]","36416628","36:1:1:36","23179751","0","0"
"51","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[3505633, 1, OUT]","23189030","1:1:1:1","23179823","0","0"
"52","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[4164502, 1, OUT]","32427368","6:1:1:6","23179895","0","0"
"53","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[2361737, 1, OUT]","50462335","9:1:1:9","23179959","0","0"
"54","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[5693277, 1, OUT]","14763911","0:0:1:0","23180023","0","0"
"55","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[3591112, 1, OUT]","29336220","7:1:1:7","23180087","0","0"
"56","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[1978800, 1, OUT]","52980691","7:1:1:7","23180151","0","0"
"57","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[5724574, 1, OUT]","11920872","1:1:1:1","23180215","0","0"
"58","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[5335320, 1, OUT]","37355877","3:1:1:3","23180279","0","0"
"59","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[313944, 1, OUT]","42060624","23:1:1:23","23180343","0","0"
"60","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[690634, 1, OUT]","49164062","12:1:1:12","23180407","0","0"
"61","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[3796866, 1, OUT]","35613699","3:1:1:3","23180479","0","0"
"62","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[7039547, 1, OUT]","23114481","2:1:1:2","23180551","0","0"
"63","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[54445722, 1, OUT]","148509","0:0:1:0","23180615","0","0"
"64","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[54653779, 1, OUT]","3106377","0:0:1:0","23180679","0","0"
"65","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[5019496, 1, OUT]","17233380","4:1:1:4","23180743","0","0"
"66","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[1602393, 1, OUT]","44630041","7:1:1:7","23180807","0","0"
"67","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[5294110, 1, OUT]","40030470","3:1:1:3","23180871","0","0"
"68","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[7843941, 1, OUT]","30863764","1:1:1:1","23180935","0","0"
"69","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[6822773, 1, OUT]","23869551","1:1:1:1","23180999","0","0"
"70","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[6387161, 1, OUT]","22419922","2:1:1:2","23181063","0","0"
"71","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[64675, 1, OUT]","44373700","47:1:1:47","23181127","0","0"
"72","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[2999031, 1, OUT]","30241465","2:1:1:2","23181191","0","0"
"73","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[6475622, 1, OUT]","6574135","0:0:1:0","23181263","0","0"
"74","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[1196679, 1, OUT]","43511106","10:1:1:10","23181327","0","0"
"75","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[4486063, 1, OUT]","31097746","2:1:1:2","23181399","0","0"
"76","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[5201336, 1, OUT]","9434502","2:1:1:2","23181463","0","0"
"77","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[54330983, 1, OUT]","143440","0:0:1:0","23181527","0","0"
"78","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[4918407, 1, OUT]","40974501","2:1:1:2","23181591","0","0"
"79","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[294301, 1, OUT]","44832537","16:1:1:16","23181655","0","0"
"80","OperationGetKHopNeighbors-out-1","com.tinkerpop.bench.operation.operations.OperationGetKHopNeighbors$DEX","[1943214, 1, OUT]","30263576","4:1:1:4","23181719","0","0"
