"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","18967826815","DONE","22891935","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1387275489","DONE","21043255","8","1"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1379708504","DONE","20906111","8","1"
"1","OperationCreateKeyIndex-vertex-name","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, name]","59081939468","DONE","22302143","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1385225393","DONE","20906751","8","0"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1377233595","DONE","20906463","8","1"
"4","OperationCreateKeyIndex-vertex-age","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, age]","11615519468","DONE","22302495","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1381509608","DONE","20907071","8","0"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1381433329","DONE","20906783","8","0"
"7","OperationCreateKeyIndex-edge-time","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[edge, time]","179712294382","DONE","22302815","0","0"
"10","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","24538550518","DONE","22302815","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1395664606","DONE","20907087","8","1"
