"operation","dex-mean","dex-stdev","dex-min","dex-max"
"OperationOpenGraph","9.1364041E7","0.0","9.1364041E7","9.1364041E7"
"OperationDoGC","1.4036172620659342E9","1.1791745595283546E7","1.395959905E9","1.511628446E9"
"OperationGetManyVertices","116676.0","0.0","116676.0","116676.0"
"OperationGetManyEdges","173185.0","0.0","173185.0","173185.0"
"OperationGetFirstNeighbor-out","97362.5","18550.712140238713","69127.0","192134.0"
"OperationGetAllNeighbors-out","92933.27","11026.421182645803","71514.0","146443.0"
"OperationGetNeighborEdgeConditional-out","138694.84","46977.54028782691","65836.0","290148.0"
"OperationGetFirstNeighbor-in","91708.8","17045.95525278651","67429.0","159028.0"
"OperationGetAllNeighbors-in","97895.65","15757.829079778092","70263.0","143660.0"
"OperationGetNeighborEdgeConditional-in","136256.95","24395.143323364588","100359.0","212659.0"
"OperationGetFirstNeighbor-both","119260.1","19724.18629474991","85874.0","177314.0"
"OperationGetAllNeighbors-both","125393.2","18753.62845691468","87769.0","189675.0"
"OperationGetNeighborEdgeConditional-both","179677.66","45889.291038371906","114140.0","357287.0"
"OperationGetFirstNeighbor-out-withlabel","91346.32","13557.356622793399","68274.0","143410.0"
"OperationGetAllNeighbors-out-withlabel","92919.4","12732.345969223425","70480.0","146166.0"
"OperationGetNeighborEdgeConditional-out-withlabel","133921.64","49007.55799497053","66103.0","397434.0"
"OperationGetFirstNeighbor-in-withlabel","92418.01","16975.201432969803","73897.0","146003.0"
"OperationGetAllNeighbors-in-withlabel","105138.38","17989.563325317267","76986.0","162143.0"
"OperationGetNeighborEdgeConditional-in-withlabel","144946.19","21631.916122569906","102750.0","194788.0"
"OperationGetFirstNeighbor-both-withlabel","128541.39","19299.385258030892","88696.0","174267.0"
"OperationGetAllNeighbors-both-withlabel","122626.12","19189.848457598615","93639.0","187794.0"
"OperationGetNeighborEdgeConditional-both-withlabel","175542.98","38836.20178595739","122072.0","321554.0"
"OperationGetKHopNeighbors-out-1","100256.92","19045.6327438497","72169.0","159127.0"
"OperationGetKHopNeighborsEdgeConditional-out-1","111083.61","33760.495466416076","55546.0","308154.0"
"OperationGetKHopNeighbors-out-2","162514.44","124827.29431012434","74325.0","1133868.0"
"OperationGetKHopNeighborsEdgeConditional-out-2","122389.18","46015.342709878845","56017.0","322370.0"
"OperationGetKHopNeighbors-out-3","286020.11","410914.31547961175","73759.0","3413967.0"
"OperationGetKHopNeighborsEdgeConditional-out-3","136471.75","49763.420562572865","55632.0","266286.0"
"OperationGetKHopNeighbors-out-4","427128.12","903566.4753531115","74105.0","5939416.0"
"OperationGetKHopNeighborsEdgeConditional-out-4","141450.92","58343.55427494626","56865.0","465525.0"
"OperationGetKHopNeighbors-out-5","787416.46","1309507.5758731784","73439.0","7377917.0"
"OperationGetKHopNeighborsEdgeConditional-out-5","127017.79","52366.40734159545","56797.0","358093.0"
"OperationGetKHopNeighbors-in-1","107663.4","15962.558469117665","78703.0","183756.0"
"OperationGetKHopNeighborsEdgeConditional-in-1","110800.15","19668.993052200207","83639.0","168149.0"
"OperationGetKHopNeighbors-in-2","171053.65","27174.411020802272","110750.0","223356.0"
"OperationGetKHopNeighborsEdgeConditional-in-2","138743.69","28946.39134285827","100979.0","293306.0"
"OperationGetKHopNeighbors-in-3","316837.86","88390.3519532556","145760.0","472199.0"
"OperationGetKHopNeighborsEdgeConditional-in-3","166050.62","34040.36424945538","104931.0","252112.0"
"OperationGetKHopNeighbors-in-4","647652.05","281407.65964470035","126558.0","1250016.0"
"OperationGetKHopNeighborsEdgeConditional-in-4","185084.93","44739.41746989001","55794.0","266740.0"
"OperationGetKHopNeighbors-in-5","808382.01","441286.49440785055","139261.0","1866687.0"
"OperationGetKHopNeighborsEdgeConditional-in-5","193749.46","50510.63100049732","68980.0","296551.0"
"OperationGetKHopNeighbors-both-1","132983.5","21037.25068230162","92197.0","179145.0"
"OperationGetKHopNeighborsEdgeConditional-both-1","151735.72","32552.166303974307","98761.0","269414.0"
"OperationGetKHopNeighbors-both-2","406614.09","164574.6228833045","187069.0","951414.0"
"OperationGetKHopNeighborsEdgeConditional-both-2","224951.44","67115.29675481141","126357.0","448559.0"
"OperationGetKHopNeighbors-both-3","3219922.22","2014352.8416607236","858615.0","1.1548315E7"
"OperationGetKHopNeighborsEdgeConditional-both-3","279330.83","86390.09418354109","147900.0","572543.0"
"OperationGetKHopNeighbors-both-4","1.14815756E7","3384880.2928425483","3535799.0","1.7625886E7"
"OperationGetKHopNeighborsEdgeConditional-both-4","355836.18","127032.36887536812","163838.0","801823.0"
"OperationGetKHopNeighbors-both-5","1.620149116E7","1710523.3710902564","9329071.0","1.8857422E7"
"OperationGetKHopNeighborsEdgeConditional-both-5","391784.04","153664.92213305677","179074.0","856137.0"
"OperationGetKHopNeighbors-out-withlabel-1","104971.42","17414.612365011166","75526.0","168653.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-1","108844.2","30205.864552434185","57802.0","215632.0"
"OperationGetKHopNeighbors-out-withlabel-2","153195.23","70490.64463995985","75830.0","446797.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-2","127719.24","45029.79160913806","55872.0","312910.0"
"OperationGetKHopNeighbors-out-withlabel-3","387123.26","672728.7754739886","82060.0","5864396.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-3","135969.22","61742.73988973603","55766.0","370273.0"
"OperationGetKHopNeighbors-out-withlabel-4","595756.46","1272548.7347406968","75361.0","7404223.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-4","121672.55","43711.366196534065","55652.0","243753.0"
"OperationGetKHopNeighbors-out-withlabel-5","816907.71","1772999.965616459","69210.0","9324118.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-5","138211.85","53454.74408382757","56406.0","304450.0"
"OperationGetKHopNeighbors-in-withlabel-1","100266.7","17223.446032951717","77179.0","159888.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-1","118549.79","22103.176572744014","84789.0","201658.0"
"OperationGetKHopNeighbors-in-withlabel-2","154754.11","31965.860463593028","100582.0","222437.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-2","139239.58","25674.608467581347","103816.0","206373.0"
"OperationGetKHopNeighbors-in-withlabel-3","299029.37","98238.98295581598","135806.0","531431.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-3","163894.12","34496.1714676513","92283.0","225130.0"
"OperationGetKHopNeighbors-in-withlabel-4","581457.06","239455.25284515347","132268.0","1140183.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-4","197362.69","40314.27083941739","108447.0","263567.0"
"OperationGetKHopNeighbors-in-withlabel-5","869677.84","381619.51201215375","185658.0","1929985.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-5","194697.08","56084.65897884733","79554.0","359553.0"
"OperationGetKHopNeighbors-both-withlabel-1","136318.54","24746.818513667567","91834.0","280480.0"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-1","154246.83","42384.543454437495","99642.0","314915.0"
"OperationGetKHopNeighbors-both-withlabel-2","341298.52","179877.3825689867","181884.0","1191706.0"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-2","198955.84","61305.272838919824","132049.0","550787.0"
"OperationGetKHopNeighbors-both-withlabel-3","2805650.46","1692176.6392539483","784457.0","1.0588169E7"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-3","280853.26","81674.17112191833","139564.0","553252.0"
"OperationGetKHopNeighbors-both-withlabel-4","1.181648372E7","3072507.1005489063","5470832.0","1.7829234E7"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-4","310552.84","134683.59436128216","154340.0","1010984.0"
"OperationGetKHopNeighbors-both-withlabel-5","1.573628368E7","2074665.7893636215","9155053.0","1.8268269E7"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-5","443101.45","140391.69689076164","168911.0","799935.0"
"OperationGetManyVertexProperties-name","2910511.0","0.0","2910511.0","2910511.0"
"OperationGetManyVertexProperties-age","2905911.0","0.0","2905911.0","2905911.0"
"OperationGetManyEdgeProperties-time","1117343.0","0.0","1117343.0","1117343.0"
"OperationGetManyVertexPropertySets","5218512.0","0.0","5218512.0","5218512.0"
"OperationGetManyEdgePropertySets","1190568.0","0.0","1190568.0","1190568.0"
"OperationGetVerticesUsingKeyIndex-_original_id","149836.45","25427.51884450191","115532.0","233048.0"
"OperationGetVerticesUsingKeyIndex-name","170458.9381443299","26529.533442497373","115192.0","245851.0"
"OperationGetVerticesUsingKeyIndex-age","158372.72727272726","22645.855625622295","122386.0","201127.0"
"OperationGetEdgesUsingKeyIndex-time","147282.0202020202","28548.71891869374","107861.0","225172.0"
"OperationShutdownGraph","1.46770297E8","0.0","1.46770297E8","1.46770297E8"
