"operation","dex-mean","dex-stdev","dex-min","dex-max"
"OperationOpenGraph","7.409791E7","0.0","7.409791E7","7.409791E7"
"OperationDoGC","1.4148518687222223E9","3.975273951877019E7","1.399459434E9","1.578285409E9"
"OperationGetManyVertices","113530.69","20863.25159206733","56962.0","251126.0"
"OperationGetManyEdges","96391.87","29824.913298668616","58215.0","160954.0"
"OperationGetFirstNeighbor-out","85871.76","16179.748469070835","66499.0","149144.0"
"OperationGetAllNeighbors-out","87339.05","16400.68827907841","65526.0","139563.0"
"OperationGetNeighborEdgeConditional-out","126011.03","42345.24192526356","62332.0","244455.0"
"OperationGetFirstNeighbor-in","89070.73","18860.412756276037","64320.0","144486.0"
"OperationGetAllNeighbors-in","95078.54","18132.491067374056","69291.0","168091.0"
"OperationGetNeighborEdgeConditional-in","123904.52","25494.6853549833","90564.0","193923.0"
"OperationGetFirstNeighbor-both","113826.02","18350.688951088458","88482.0","176668.0"
"OperationGetAllNeighbors-both","130224.83","22036.84070916473","93654.0","198386.0"
"OperationGetNeighborEdgeConditional-both","181065.54","42222.77506451229","123168.0","334159.0"
"OperationGetManyVertexProperties-name","1742375.33","333476.8241343034","760616.0","2018009.0"
"OperationGetManyVertexProperties-age","1392207.74","199014.67081864196","657250.0","1751272.0"
"OperationGetManyEdgeProperties-time","1447696.49","351704.9837304695","670267.0","3452211.0"
"OperationGetManyVertexPropertySets","3002759.56","630638.5115870632","1385838.0","3616680.0"
"OperationGetManyEdgePropertySets","1603028.42","173401.49413440353","690889.0","1792742.0"
"OperationShutdownGraph","1.14663619E8","0.0","1.14663619E8","1.14663619E8"
