"operation","dex-mean","dex-stdev","dex-min","dex-max"
"OperationOpenGraph","9.2198896E7","0.0","9.2198896E7","9.2198896E7"
"OperationDoGC","1.390271169112903E9","4757354.581890749","1.383344173E9","1.420304721E9"
"OperationGetKHopNeighbors-out-1","134552.14","43111.540037679006","79602.0","311014.0"
"OperationGetKHopNeighbors-out-2","187754.94","175019.8546122022","79955.0","1582053.0"
"OperationGetKHopNeighbors-out-3","309973.01","406699.427887537","80810.0","2474328.0"
"OperationGetKHopNeighbors-out-4","427279.29","646725.5424185178","84286.0","3877041.0"
"OperationGetKHopNeighbors-out-5","1144997.35","1991267.878026919","85080.0","9137875.0"
"OperationGetKHopNeighbors-in-1","136304.6","26869.258576298675","101638.0","211019.0"
"OperationGetKHopNeighbors-in-2","190172.49","47560.29199962822","114260.0","347069.0"
"OperationGetKHopNeighbors-in-3","422768.89","159103.70251178285","143402.0","687843.0"
"OperationGetKHopNeighbors-in-4","741780.64","313765.4548248587","169905.0","1430632.0"
"OperationGetKHopNeighbors-in-5","1159673.27","518914.5493804709","232191.0","2317668.0"
"OperationGetKHopNeighbors-both-1","157264.33","37136.45614542534","107090.0","318115.0"
"OperationGetKHopNeighbors-both-2","609785.09","338706.55589241534","253773.0","2135737.0"
"OperationGetKHopNeighbors-both-3","4976065.79","2234261.656282658","1219089.0","1.4034903E7"
"OperationGetKHopNeighbors-both-4","1.144408634E7","2354895.426176437","7475417.0","1.9054388E7"
"OperationGetKHopNeighbors-both-5","1.430989417E7","2439244.7653719387","9962259.0","2.1261557E7"
"OperationGetKHopNeighbors-out-withlabel-1","136064.44","35752.34705339497","90603.0","227734.0"
"OperationGetKHopNeighbors-out-withlabel-2","242090.4","175142.03623402346","90681.0","1148933.0"
"OperationGetKHopNeighbors-out-withlabel-3","369666.81","529405.5467798141","89958.0","2670170.0"
"OperationGetKHopNeighbors-out-withlabel-4","509515.99","756265.1250522332","88928.0","4028546.0"
"OperationGetKHopNeighbors-out-withlabel-5","818690.13","1752700.8710350643","89675.0","9331767.0"
"OperationGetKHopNeighbors-in-withlabel-1","143491.99","25103.6520153921","109149.0","200795.0"
"OperationGetKHopNeighbors-in-withlabel-2","246483.64","48350.24835376133","144738.0","321365.0"
"OperationGetKHopNeighbors-in-withlabel-3","437976.63","150200.7380204009","163285.0","742992.0"
"OperationGetKHopNeighbors-in-withlabel-4","662936.09","306526.64489861554","144326.0","1333014.0"
"OperationGetKHopNeighbors-in-withlabel-5","1098189.96","578167.3538491587","178422.0","2292251.0"
"OperationGetKHopNeighbors-both-withlabel-1","190184.72","38803.422929190165","121720.0","333983.0"
"OperationGetKHopNeighbors-both-withlabel-2","720137.3","305527.7184862448","236455.0","2233339.0"
"OperationGetKHopNeighbors-both-withlabel-3","4905567.42","2318133.806637983","1267162.0","1.1527307E7"
"OperationGetKHopNeighbors-both-withlabel-4","1.129906986E7","2593465.634160082","6938443.0","2.2825044E7"
"OperationGetKHopNeighbors-both-withlabel-5","1.46272449E7","2302527.3367922287","1.2374101E7","2.106918E7"
"OperationShutdownGraph","5.9388818E7","0.0","5.9388818E7","5.9388818E7"
