operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                 92.199            0.000        92.199          92.199    
OperationDoGC                                    1390.271            4.757      1383.344        1420.305    
OperationGetKHopNeighbors-out-1                     0.135            0.043         0.080           0.311    
OperationGetKHopNeighbors-out-2                     0.188            0.175         0.080           1.582    
OperationGetKHopNeighbors-out-3                     0.310            0.407         0.081           2.474    
OperationGetKHopNeighbors-out-4                     0.427            0.647         0.084           3.877    
OperationGetKHopNeighbors-out-5                     1.145            1.991         0.085           9.138    
OperationGetKHopNeighbors-in-1                      0.136            0.027         0.102           0.211    
OperationGetKHopNeighbors-in-2                      0.190            0.048         0.114           0.347    
OperationGetKHopNeighbors-in-3                      0.423            0.159         0.143           0.688    
OperationGetKHopNeighbors-in-4                      0.742            0.314         0.170           1.431    
OperationGetKHopNeighbors-in-5                      1.160            0.519         0.232           2.318    
OperationGetKHopNeighbors-both-1                    0.157            0.037         0.107           0.318    
OperationGetKHopNeighbors-both-2                    0.610            0.339         0.254           2.136    
OperationGetKHopNeighbors-both-3                    4.976            2.234         1.219          14.035    
OperationGetKHopNeighbors-both-4                   11.444            2.355         7.475          19.054    
OperationGetKHopNeighbors-both-5                   14.310            2.439         9.962          21.262    
OperationGetKHopNeighbors-out-withlabel-1           0.136            0.036         0.091           0.228    
OperationGetKHopNeighbors-out-withlabel-2           0.242            0.175         0.091           1.149    
OperationGetKHopNeighbors-out-withlabel-3           0.370            0.529         0.090           2.670    
OperationGetKHopNeighbors-out-withlabel-4           0.510            0.756         0.089           4.029    
OperationGetKHopNeighbors-out-withlabel-5           0.819            1.753         0.090           9.332    
OperationGetKHopNeighbors-in-withlabel-1            0.143            0.025         0.109           0.201    
OperationGetKHopNeighbors-in-withlabel-2            0.246            0.048         0.145           0.321    
OperationGetKHopNeighbors-in-withlabel-3            0.438            0.150         0.163           0.743    
OperationGetKHopNeighbors-in-withlabel-4            0.663            0.307         0.144           1.333    
OperationGetKHopNeighbors-in-withlabel-5            1.098            0.578         0.178           2.292    
OperationGetKHopNeighbors-both-withlabel-1          0.190            0.039         0.122           0.334    
OperationGetKHopNeighbors-both-withlabel-2          0.720            0.306         0.236           2.233    
OperationGetKHopNeighbors-both-withlabel-3          4.906            2.318         1.267          11.527    
OperationGetKHopNeighbors-both-withlabel-4         11.299            2.593         6.938          22.825    
OperationGetKHopNeighbors-both-withlabel-5         14.627            2.303        12.374          21.069    
OperationShutdownGraph                             59.389            0.000        59.389          59.389    
