"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","42285204","DONE","23449551","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1398051138","DONE","21065935","8","0"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1383499142","DONE","21066111","8","1"
"1","OperationAddManyVertices","com.tinkerpop.bench.operation.operations.OperationAddManyVertices$DEX","[100]","953532","100","22462143","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1389956170","DONE","21083767","8","1"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1380010301","DONE","21083687","8","0"
"4","OperationSetManyVertexProperties","com.tinkerpop.bench.operation.operations.OperationSetManyVertexProperties$DEX","[_property, 100]","2012734","100","22479719","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1385690110","DONE","21093727","8","0"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1381317542","DONE","21093631","8","1"
"7","OperationAddManyEdges","com.tinkerpop.bench.operation.operations.OperationAddManyEdges$DEX","[100]","2211932","100","22489663","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1390214289","DONE","21112887","8","1"
"12","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1381809900","DONE","21112807","8","0"
"10","OperationSetManyEdgeProperties","com.tinkerpop.bench.operation.operations.OperationSetManyEdgeProperties$DEX","[_property, 100]","2597563","100","22508839","0","0"
"13","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","356446184","DONE","22508839","0","0"
"14","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1383958061","DONE","21112871","8","1"
