"operation","dex-mean","dex-stdev","dex-min","dex-max"
"OperationOpenGraph","1.0319635E8","0.0","1.0319635E8","1.0319635E8"
"OperationDoGC","1.3879336952222223E9","4711846.939371803","1.381625662E9","1.403346097E9"
"OperationGetKHopNeighbors-out-1","87225.97","20637.435594789873","61003.0","156497.0"
"OperationGetKHopNeighbors-out-2","229790.34","197472.22853744368","76062.0","1377708.0"
"OperationGetKHopNeighbors-out-3","604913.42","1312794.1887332085","60056.0","7703326.0"
"OperationGetKHopNeighbors-out-4","727263.66","1874958.819704509","63576.0","1.4117647E7"
"OperationGetKHopNeighbors-in-1","87434.32","18061.38957438214","64740.0","144747.0"
"OperationGetKHopNeighbors-in-2","217119.23","55634.306304447615","157693.0","419128.0"
"OperationGetKHopNeighbors-in-3","566094.35","139189.5412688306","239580.0","812201.0"
"OperationGetKHopNeighbors-in-4","1337032.33","429053.00192449545","372856.0","2638099.0"
"OperationGetKHopNeighbors-both-1","118415.19","18039.889313238597","83918.0","160793.0"
"OperationGetKHopNeighbors-both-2","617042.52","247260.04787884673","278302.0","1644448.0"
"OperationGetKHopNeighbors-both-3","3754725.54","2278757.3477194863","1023568.0","1.6249515E7"
"OperationGetKHopNeighbors-both-4","1.953264072E7","7143459.570462818","9202396.0","4.0258299E7"
"OperationGetKHopNeighbors-out-withlabel-1","72819.99","9609.247199957965","59783.0","120774.0"
"OperationGetKHopNeighbors-out-withlabel-2","112633.73","45119.61452757659","59695.0","233383.0"
"OperationGetKHopNeighbors-out-withlabel-3","145884.2","176712.4448349352","59600.0","1591781.0"
"OperationGetKHopNeighbors-out-withlabel-4","173678.3","182050.2619851727","63054.0","1142614.0"
"OperationGetKHopNeighbors-in-withlabel-1","85663.73","11449.4276650451","62256.0","125876.0"
"OperationGetKHopNeighbors-in-withlabel-2","140929.69","28421.830962376433","61396.0","228538.0"
"OperationGetKHopNeighbors-in-withlabel-3","191757.37","41044.99112161069","72328.0","261839.0"
"OperationGetKHopNeighbors-in-withlabel-4","242489.24","78008.031150404","65602.0","438358.0"
"OperationGetKHopNeighbors-both-withlabel-1","97241.02","16807.690161934803","66844.0","148282.0"
"OperationGetKHopNeighbors-both-withlabel-2","278476.27","94993.91641519524","88040.0","736733.0"
"OperationGetKHopNeighbors-both-withlabel-3","788037.57","415243.9341094161","100749.0","2553823.0"
"OperationGetKHopNeighbors-both-withlabel-4","2564083.43","1503890.367154017","83164.0","7246482.0"
"OperationLocalClusteringCoefficient","597965.25","215615.0774675266","264276.0","1495462.0"
"OperationShutdownGraph","1.56500696E8","0.0","1.56500696E8","1.56500696E8"
