operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                103.196            0.000       103.196         103.196    
OperationDoGC                                    1387.934            4.712      1381.626        1403.346    
OperationGetKHopNeighbors-out-1                     0.087            0.021         0.061           0.156    
OperationGetKHopNeighbors-out-2                     0.230            0.197         0.076           1.378    
OperationGetKHopNeighbors-out-3                     0.605            1.313         0.060           7.703    
OperationGetKHopNeighbors-out-4                     0.727            1.875         0.064          14.118    
OperationGetKHopNeighbors-in-1                      0.087            0.018         0.065           0.145    
OperationGetKHopNeighbors-in-2                      0.217            0.056         0.158           0.419    
OperationGetKHopNeighbors-in-3                      0.566            0.139         0.240           0.812    
OperationGetKHopNeighbors-in-4                      1.337            0.429         0.373           2.638    
OperationGetKHopNeighbors-both-1                    0.118            0.018         0.084           0.161    
OperationGetKHopNeighbors-both-2                    0.617            0.247         0.278           1.644    
OperationGetKHopNeighbors-both-3                    3.755            2.279         1.024          16.250    
OperationGetKHopNeighbors-both-4                   19.533            7.143         9.202          40.258    
OperationGetKHopNeighbors-out-withlabel-1           0.073            0.010         0.060           0.121    
OperationGetKHopNeighbors-out-withlabel-2           0.113            0.045         0.060           0.233    
OperationGetKHopNeighbors-out-withlabel-3           0.146            0.177         0.060           1.592    
OperationGetKHopNeighbors-out-withlabel-4           0.174            0.182         0.063           1.143    
OperationGetKHopNeighbors-in-withlabel-1            0.086            0.011         0.062           0.126    
OperationGetKHopNeighbors-in-withlabel-2            0.141            0.028         0.061           0.229    
OperationGetKHopNeighbors-in-withlabel-3            0.192            0.041         0.072           0.262    
OperationGetKHopNeighbors-in-withlabel-4            0.242            0.078         0.066           0.438    
OperationGetKHopNeighbors-both-withlabel-1          0.097            0.017         0.067           0.148    
OperationGetKHopNeighbors-both-withlabel-2          0.278            0.095         0.088           0.737    
OperationGetKHopNeighbors-both-withlabel-3          0.788            0.415         0.101           2.554    
OperationGetKHopNeighbors-both-withlabel-4          2.564            1.504         0.083           7.246    
OperationLocalClusteringCoefficient                 0.598            0.216         0.264           1.495    
OperationShutdownGraph                            156.501            0.000       156.501         156.501    
