"operation","dex-mean","dex-stdev","dex-min","dex-max"
"OperationOpenGraph","3.7992956E7","0.0","3.7992956E7","3.7992956E7"
"OperationDoGC","1.4298896127037036E9","2.2370365988514572E7","1.421564131E9","1.62732039E9"
"OperationGetManyVertices","104300.63","25548.475006800312","58424.0","157973.0"
"OperationGetManyEdges","98495.47","30535.345559025525","60050.0","168694.0"
"OperationGetFirstNeighbor-out","85815.42","20763.138029777674","62004.0","172439.0"
"OperationGetAllNeighbors-out","93877.85","16827.97183820736","72559.0","154036.0"
"OperationGetNeighborEdgeConditional-out","145192.81","43190.29301352214","69820.0","280671.0"
"OperationGetFirstNeighbor-in","84301.95","17011.29728526017","63305.0","140710.0"
"OperationGetAllNeighbors-in","105527.38","13261.46728667684","72447.0","149016.0"
"OperationGetNeighborEdgeConditional-in","154729.91","21053.652236652437","105561.0","206688.0"
"OperationGetFirstNeighbor-both","105969.76","16528.01456625689","74199.0","160922.0"
"OperationGetAllNeighbors-both","138021.18","23134.25305359134","99086.0","196547.0"
"OperationGetNeighborEdgeConditional-both","204641.8","30180.607851731544","121717.0","331002.0"
"OperationGetFirstNeighbor-out-withlabel","82823.21","13505.759022946466","68773.0","136974.0"
"OperationGetAllNeighbors-out-withlabel","89054.46","13805.295390117519","68623.0","148816.0"
"OperationGetNeighborEdgeConditional-out-withlabel","118743.36","32206.51683418125","67232.0","205355.0"
"OperationGetFirstNeighbor-in-withlabel","85910.58","11029.244951654671","68700.0","140300.0"
"OperationGetAllNeighbors-in-withlabel","92274.35","16556.846062807374","70935.0","157273.0"
"OperationGetNeighborEdgeConditional-in-withlabel","120201.69","19723.249303649238","69816.0","166307.0"
"OperationGetFirstNeighbor-both-withlabel","112828.33","20832.04841538872","78943.0","170420.0"
"OperationGetAllNeighbors-both-withlabel","122836.24","17136.519449479816","88421.0","185670.0"
"OperationGetNeighborEdgeConditional-both-withlabel","158888.64","34840.47036924732","79035.0","246446.0"
"OperationGetKHopNeighbors-out-1","94424.04","18291.36915811389","67918.0","151937.0"
"OperationGetKHopNeighborsEdgeConditional-out-1","121976.04","40137.66872924236","64358.0","335079.0"
"OperationGetKHopNeighbors-out-2","247597.72","205341.4363835551","65180.0","1401608.0"
"OperationGetKHopNeighborsEdgeConditional-out-2","131662.84","39643.192051024336","61587.0","242490.0"
"OperationGetKHopNeighbors-out-3","422491.87","610631.1590960888","67692.0","5298194.0"
"OperationGetKHopNeighborsEdgeConditional-out-3","157725.44","57680.79034952971","62329.0","382729.0"
"OperationGetKHopNeighbors-out-4","775411.21","1357069.82328341","73180.0","7307560.0"
"OperationGetKHopNeighborsEdgeConditional-out-4","146696.96","61167.27449738463","60104.0","320820.0"
"OperationGetKHopNeighbors-in-1","89326.77","15312.032073408807","72124.0","138333.0"
"OperationGetKHopNeighborsEdgeConditional-in-1","129973.6","24279.91612547292","92384.0","205033.0"
"OperationGetKHopNeighbors-in-2","271185.72","52390.20479232353","88177.0","395331.0"
"OperationGetKHopNeighborsEdgeConditional-in-2","159017.84","29574.184449860997","108254.0","222344.0"
"OperationGetKHopNeighbors-in-3","551038.81","170185.46953254822","205036.0","787680.0"
"OperationGetKHopNeighborsEdgeConditional-in-3","193774.02","35272.07510311238","123843.0","260432.0"
"OperationGetKHopNeighbors-in-4","1506029.39","348558.86055080843","394358.0","2078741.0"
"OperationGetKHopNeighborsEdgeConditional-in-4","226160.38","49247.142532898295","122841.0","307819.0"
"OperationGetKHopNeighbors-both-1","130138.81","23627.966738885938","89527.0","176361.0"
"OperationGetKHopNeighborsEdgeConditional-both-1","184684.37","40365.271105160435","114198.0","311561.0"
"OperationGetKHopNeighbors-both-2","597636.12","210373.39840242534","258613.0","1575875.0"
"OperationGetKHopNeighborsEdgeConditional-both-2","220830.21","70140.0904700436","142202.0","454751.0"
"OperationGetKHopNeighbors-both-3","4177757.54","2284582.4597417163","1046082.0","1.3551652E7"
"OperationGetKHopNeighborsEdgeConditional-both-3","297457.05","95813.2575915645","171663.0","643079.0"
"OperationGetKHopNeighbors-both-4","1.929413194E7","8062783.427004148","5799702.0","4.8491251E7"
"OperationGetKHopNeighborsEdgeConditional-both-4","398069.67","111786.24092213271","212001.0","767035.0"
"OperationGetKHopNeighbors-out-withlabel-1","86561.62","13766.606699386746","60849.0","143692.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-1","90657.37","22950.34233150128","56673.0","176073.0"
"OperationGetKHopNeighbors-out-withlabel-2","113282.39","43082.32823441532","59372.0","280512.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-2","99898.43","31597.965789352646","54114.0","197074.0"
"OperationGetKHopNeighbors-out-withlabel-3","151468.79","173969.50458257305","58655.0","1663287.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-3","93228.42","26255.257679626757","56206.0","164999.0"
"OperationGetKHopNeighbors-out-withlabel-4","190541.95","231502.59344808108","59801.0","1602395.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-4","89332.5","28413.735519111175","55620.0","159694.0"
"OperationGetKHopNeighbors-in-withlabel-1","76437.63","9753.769553003598","61234.0","88575.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-1","102695.67","19623.075560194433","71634.0","165258.0"
"OperationGetKHopNeighbors-in-withlabel-2","146961.32","23607.440478747372","85891.0","196427.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-2","119035.41","23962.008251018946","57752.0","190881.0"
"OperationGetKHopNeighbors-in-withlabel-3","176549.32","40221.90944196459","89175.0","319467.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-3","132954.05","26310.86003701704","68673.0","175742.0"
"OperationGetKHopNeighbors-in-withlabel-4","230552.65","79952.5421322393","57849.0","380456.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-4","151046.8","32555.93416905741","56833.0","258136.0"
"OperationGetKHopNeighbors-both-withlabel-1","96356.95","14333.479594554141","70131.0","120768.0"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-1","123672.66","26554.475761807083","80663.0","202034.0"
"OperationGetKHopNeighbors-both-withlabel-2","273550.94","82931.27531369816","131086.0","723684.0"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-2","201498.65","39416.58359507454","82951.0","323413.0"
"OperationGetKHopNeighbors-both-withlabel-3","735637.01","398673.3552867434","95022.0","2470723.0"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-3","204160.12","60278.854602303116","82495.0","453953.0"
"OperationGetKHopNeighbors-both-withlabel-4","2658991.18","1563903.924257743","85229.0","8517628.0"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-4","262880.66","85850.74428043359","64780.0","503507.0"
"OperationGetManyVertexProperties-name","1659374.95","286578.64795125177","784126.0","2064304.0"
"OperationGetManyVertexProperties-age","1191520.16","281976.62637278","631228.0","1524913.0"
"OperationGetManyEdgeProperties-time","1480576.54","246372.167204878","667715.0","1771964.0"
"OperationGetManyVertexPropertySets","3182612.84","547681.1464775781","1359152.0","3608459.0"
"OperationGetManyEdgePropertySets","1323834.72","324420.032980489","645376.0","1744684.0"
"OperationGetVerticesUsingKeyIndex-_original_id","132831.17","21334.256059705946","102461.0","222472.0"
"OperationGetVerticesUsingKeyIndex-name","154222.38709677418","18063.346546911293","109063.0","218303.0"
"OperationGetVerticesUsingKeyIndex-age","168770.55","83559.56055561507","125799.0","683475.0"
"OperationGetEdgesUsingKeyIndex-time","159980.44897959183","34159.253921476185","112641.0","251813.0"
"OperationGetShortestPath","1.259897863E7","5544855.591675319","340518.0","2.065058E7"
"OperationLocalClusteringCoefficient","741901.97","389173.3240005397","322473.0","3043048.0"
"OperationShutdownGraph","1.49950096E8","0.0","1.49950096E8","1.49950096E8"
