operation                                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                                 37.993            0.000        37.993          37.993    
OperationDoGC                                                    1429.890           22.370      1421.564        1627.320    
OperationGetManyVertices                                            0.104            0.026         0.058           0.158    
OperationGetManyEdges                                               0.098            0.031         0.060           0.169    
OperationGetFirstNeighbor-out                                       0.086            0.021         0.062           0.172    
OperationGetAllNeighbors-out                                        0.094            0.017         0.073           0.154    
OperationGetNeighborEdgeConditional-out                             0.145            0.043         0.070           0.281    
OperationGetFirstNeighbor-in                                        0.084            0.017         0.063           0.141    
OperationGetAllNeighbors-in                                         0.106            0.013         0.072           0.149    
OperationGetNeighborEdgeConditional-in                              0.155            0.021         0.106           0.207    
OperationGetFirstNeighbor-both                                      0.106            0.017         0.074           0.161    
OperationGetAllNeighbors-both                                       0.138            0.023         0.099           0.197    
OperationGetNeighborEdgeConditional-both                            0.205            0.030         0.122           0.331    
OperationGetFirstNeighbor-out-withlabel                             0.083            0.014         0.069           0.137    
OperationGetAllNeighbors-out-withlabel                              0.089            0.014         0.069           0.149    
OperationGetNeighborEdgeConditional-out-withlabel                   0.119            0.032         0.067           0.205    
OperationGetFirstNeighbor-in-withlabel                              0.086            0.011         0.069           0.140    
OperationGetAllNeighbors-in-withlabel                               0.092            0.017         0.071           0.157    
OperationGetNeighborEdgeConditional-in-withlabel                    0.120            0.020         0.070           0.166    
OperationGetFirstNeighbor-both-withlabel                            0.113            0.021         0.079           0.170    
OperationGetAllNeighbors-both-withlabel                             0.123            0.017         0.088           0.186    
OperationGetNeighborEdgeConditional-both-withlabel                  0.159            0.035         0.079           0.246    
OperationGetKHopNeighbors-out-1                                     0.094            0.018         0.068           0.152    
OperationGetKHopNeighborsEdgeConditional-out-1                      0.122            0.040         0.064           0.335    
OperationGetKHopNeighbors-out-2                                     0.248            0.205         0.065           1.402    
OperationGetKHopNeighborsEdgeConditional-out-2                      0.132            0.040         0.062           0.242    
OperationGetKHopNeighbors-out-3                                     0.422            0.611         0.068           5.298    
OperationGetKHopNeighborsEdgeConditional-out-3                      0.158            0.058         0.062           0.383    
OperationGetKHopNeighbors-out-4                                     0.775            1.357         0.073           7.308    
OperationGetKHopNeighborsEdgeConditional-out-4                      0.147            0.061         0.060           0.321    
OperationGetKHopNeighbors-in-1                                      0.089            0.015         0.072           0.138    
OperationGetKHopNeighborsEdgeConditional-in-1                       0.130            0.024         0.092           0.205    
OperationGetKHopNeighbors-in-2                                      0.271            0.052         0.088           0.395    
OperationGetKHopNeighborsEdgeConditional-in-2                       0.159            0.030         0.108           0.222    
OperationGetKHopNeighbors-in-3                                      0.551            0.170         0.205           0.788    
OperationGetKHopNeighborsEdgeConditional-in-3                       0.194            0.035         0.124           0.260    
OperationGetKHopNeighbors-in-4                                      1.506            0.349         0.394           2.079    
OperationGetKHopNeighborsEdgeConditional-in-4                       0.226            0.049         0.123           0.308    
OperationGetKHopNeighbors-both-1                                    0.130            0.024         0.090           0.176    
OperationGetKHopNeighborsEdgeConditional-both-1                     0.185            0.040         0.114           0.312    
OperationGetKHopNeighbors-both-2                                    0.598            0.210         0.259           1.576    
OperationGetKHopNeighborsEdgeConditional-both-2                     0.221            0.070         0.142           0.455    
OperationGetKHopNeighbors-both-3                                    4.178            2.285         1.046          13.552    
OperationGetKHopNeighborsEdgeConditional-both-3                     0.297            0.096         0.172           0.643    
OperationGetKHopNeighbors-both-4                                   19.294            8.063         5.800          48.491    
OperationGetKHopNeighborsEdgeConditional-both-4                     0.398            0.112         0.212           0.767    
OperationGetKHopNeighbors-out-withlabel-1                           0.087            0.014         0.061           0.144    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1            0.091            0.023         0.057           0.176    
OperationGetKHopNeighbors-out-withlabel-2                           0.113            0.043         0.059           0.281    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2            0.100            0.032         0.054           0.197    
OperationGetKHopNeighbors-out-withlabel-3                           0.151            0.174         0.059           1.663    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3            0.093            0.026         0.056           0.165    
OperationGetKHopNeighbors-out-withlabel-4                           0.191            0.232         0.060           1.602    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4            0.089            0.028         0.056           0.160    
OperationGetKHopNeighbors-in-withlabel-1                            0.076            0.010         0.061           0.089    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-1             0.103            0.020         0.072           0.165    
OperationGetKHopNeighbors-in-withlabel-2                            0.147            0.024         0.086           0.196    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-2             0.119            0.024         0.058           0.191    
OperationGetKHopNeighbors-in-withlabel-3                            0.177            0.040         0.089           0.319    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-3             0.133            0.026         0.069           0.176    
OperationGetKHopNeighbors-in-withlabel-4                            0.231            0.080         0.058           0.380    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-4             0.151            0.033         0.057           0.258    
OperationGetKHopNeighbors-both-withlabel-1                          0.096            0.014         0.070           0.121    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-1           0.124            0.027         0.081           0.202    
OperationGetKHopNeighbors-both-withlabel-2                          0.274            0.083         0.131           0.724    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-2           0.201            0.039         0.083           0.323    
OperationGetKHopNeighbors-both-withlabel-3                          0.736            0.399         0.095           2.471    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-3           0.204            0.060         0.082           0.454    
OperationGetKHopNeighbors-both-withlabel-4                          2.659            1.564         0.085           8.518    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-4           0.263            0.086         0.065           0.504    
OperationGetManyVertexProperties-name                               1.659            0.287         0.784           2.064    
OperationGetManyVertexProperties-age                                1.192            0.282         0.631           1.525    
OperationGetManyEdgeProperties-time                                 1.481            0.246         0.668           1.772    
OperationGetManyVertexPropertySets                                  3.183            0.548         1.359           3.608    
OperationGetManyEdgePropertySets                                    1.324            0.324         0.645           1.745    
OperationGetVerticesUsingKeyIndex-_original_id                      0.133            0.021         0.102           0.222    
OperationGetVerticesUsingKeyIndex-name                              0.154            0.018         0.109           0.218    
OperationGetVerticesUsingKeyIndex-age                               0.169            0.084         0.126           0.683    
OperationGetEdgesUsingKeyIndex-time                                 0.160            0.034         0.113           0.252    
OperationGetShortestPath                                           12.599            5.545         0.341          20.651    
OperationLocalClusteringCoefficient                                 0.742            0.389         0.322           3.043    
OperationShutdownGraph                                            149.950            0.000       149.950         149.950    
