operation                                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                                 85.281            0.000        85.281          85.281    
OperationDoGC                                                    1409.120            7.829      1402.335        1478.135    
OperationGetManyVertices                                            0.174            0.000         0.174           0.174    
OperationGetManyEdges                                               0.180            0.000         0.180           0.180    
OperationGetFirstNeighbor-out                                       0.100            0.021         0.068           0.172    
OperationGetAllNeighbors-out                                        0.108            0.018         0.081           0.155    
OperationGetNeighborEdgeConditional-out                             0.153            0.044         0.076           0.342    
OperationGetFirstNeighbor-in                                        0.090            0.018         0.067           0.168    
OperationGetAllNeighbors-in                                         0.116            0.016         0.078           0.160    
OperationGetNeighborEdgeConditional-in                              0.158            0.034         0.074           0.283    
OperationGetFirstNeighbor-both                                      0.109            0.018         0.078           0.171    
OperationGetAllNeighbors-both                                       0.142            0.027         0.100           0.217    
OperationGetNeighborEdgeConditional-both                            0.205            0.046         0.133           0.398    
OperationGetFirstNeighbor-out-withlabel                             0.088            0.012         0.069           0.131    
OperationGetAllNeighbors-out-withlabel                              0.088            0.011         0.069           0.127    
OperationGetNeighborEdgeConditional-out-withlabel                   0.113            0.033         0.067           0.244    
OperationGetFirstNeighbor-in-withlabel                              0.089            0.012         0.074           0.144    
OperationGetAllNeighbors-in-withlabel                               0.091            0.014         0.077           0.134    
OperationGetNeighborEdgeConditional-in-withlabel                    0.129            0.024         0.096           0.205    
OperationGetFirstNeighbor-both-withlabel                            0.125            0.020         0.077           0.174    
OperationGetAllNeighbors-both-withlabel                             0.119            0.020         0.091           0.161    
OperationGetNeighborEdgeConditional-both-withlabel                  0.159            0.034         0.080           0.298    
OperationGetKHopNeighbors-out-1                                     0.104            0.019         0.078           0.185    
OperationGetKHopNeighborsEdgeConditional-out-1                      0.109            0.029         0.063           0.190    
OperationGetKHopNeighbors-out-2                                     0.196            0.132         0.077           0.941    
OperationGetKHopNeighborsEdgeConditional-out-2                      0.154            0.056         0.060           0.377    
OperationGetKHopNeighbors-out-3                                     0.617            1.125         0.079           6.398    
OperationGetKHopNeighborsEdgeConditional-out-3                      0.174            0.073         0.063           0.379    
OperationGetKHopNeighbors-out-4                                     0.878            2.048         0.078          13.049    
OperationGetKHopNeighborsEdgeConditional-out-4                      0.154            0.059         0.063           0.343    
OperationGetKHopNeighbors-out-5                                     0.923            1.842         0.071          11.899    
OperationGetKHopNeighborsEdgeConditional-out-5                      0.150            0.070         0.062           0.361    
OperationGetKHopNeighbors-in-1                                      0.105            0.015         0.079           0.161    
OperationGetKHopNeighborsEdgeConditional-in-1                       0.118            0.016         0.095           0.174    
OperationGetKHopNeighbors-in-2                                      0.196            0.046         0.131           0.274    
OperationGetKHopNeighborsEdgeConditional-in-2                       0.150            0.032         0.110           0.284    
OperationGetKHopNeighbors-in-3                                      0.491            0.173         0.212           0.796    
OperationGetKHopNeighborsEdgeConditional-in-3                       0.211            0.023         0.136           0.280    
OperationGetKHopNeighbors-in-4                                      0.882            0.494         0.188           2.140    
OperationGetKHopNeighborsEdgeConditional-in-4                       0.206            0.048         0.116           0.289    
OperationGetKHopNeighbors-in-5                                      1.370            0.732         0.124           3.491    
OperationGetKHopNeighborsEdgeConditional-in-5                       0.296            0.039         0.175           0.386    
OperationGetKHopNeighbors-both-1                                    0.179            0.019         0.111           0.250    
OperationGetKHopNeighborsEdgeConditional-both-1                     0.171            0.039         0.110           0.384    
OperationGetKHopNeighbors-both-2                                    0.513            0.223         0.234           1.537    
OperationGetKHopNeighborsEdgeConditional-both-2                     0.261            0.073         0.151           0.508    
OperationGetKHopNeighbors-both-3                                    4.274            2.481         1.129          14.890    
OperationGetKHopNeighborsEdgeConditional-both-3                     0.300            0.094         0.181           0.696    
OperationGetKHopNeighbors-both-4                                   17.603            2.947        10.006          23.959    
OperationGetKHopNeighborsEdgeConditional-both-4                     0.461            0.171         0.221           1.138    
OperationGetKHopNeighbors-both-5                                   21.417            2.565        15.750          24.314    
OperationGetKHopNeighborsEdgeConditional-both-5                     0.475            0.183         0.214           1.237    
OperationGetKHopNeighbors-out-withlabel-1                           0.092            0.015         0.067           0.149    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1            0.089            0.020         0.057           0.135    
OperationGetKHopNeighbors-out-withlabel-2                           0.132            0.046         0.074           0.323    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2            0.111            0.040         0.056           0.244    
OperationGetKHopNeighbors-out-withlabel-3                           0.165            0.105         0.075           0.787    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3            0.109            0.041         0.056           0.229    
OperationGetKHopNeighbors-out-withlabel-4                           0.196            0.261         0.074           2.157    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4            0.109            0.045         0.060           0.277    
OperationGetKHopNeighbors-out-withlabel-5                           0.243            0.628         0.070           5.476    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-5            0.116            0.045         0.057           0.300    
OperationGetKHopNeighbors-in-withlabel-1                            0.092            0.014         0.074           0.144    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-1             0.102            0.015         0.058           0.139    
OperationGetKHopNeighbors-in-withlabel-2                            0.123            0.023         0.087           0.195    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-2             0.124            0.021         0.092           0.191    
OperationGetKHopNeighbors-in-withlabel-3                            0.164            0.048         0.082           0.323    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-3             0.138            0.032         0.074           0.225    
OperationGetKHopNeighbors-in-withlabel-4                            0.310            0.108         0.102           0.705    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-4             0.167            0.036         0.083           0.239    
OperationGetKHopNeighbors-in-withlabel-5                            0.300            0.142         0.073           0.694    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-5             0.169            0.035         0.074           0.228    
OperationGetKHopNeighbors-both-withlabel-1                          0.121            0.021         0.087           0.197    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-1           0.132            0.029         0.068           0.206    
OperationGetKHopNeighbors-both-withlabel-2                          0.266            0.104         0.116           0.875    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-2           0.186            0.046         0.091           0.361    
OperationGetKHopNeighbors-both-withlabel-3                          0.922            0.635         0.107           3.703    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-3           0.218            0.061         0.066           0.368    
OperationGetKHopNeighbors-both-withlabel-4                          3.887            2.636         0.107          13.091    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-4           0.270            0.073         0.141           0.512    
OperationGetKHopNeighbors-both-withlabel-5                         10.098            3.699         0.091          16.263    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-5           0.319            0.109         0.093           0.572    
OperationGetManyVertexProperties-name                               2.975            0.000         2.975           2.975    
OperationGetManyVertexProperties-age                                2.683            0.000         2.683           2.683    
OperationGetManyEdgeProperties-time                                 2.774            0.000         2.774           2.774    
OperationGetManyVertexPropertySets                                  5.441            0.000         5.441           5.441    
OperationGetManyEdgePropertySets                                    2.832            0.000         2.832           2.832    
OperationGetVerticesUsingKeyIndex-_original_id                      0.137            0.021         0.113           0.199    
OperationGetVerticesUsingKeyIndex-name                              0.149            0.025         0.115           0.208    
OperationGetVerticesUsingKeyIndex-age                               0.166            0.022         0.112           0.233    
OperationGetEdgesUsingKeyIndex-time                                 0.188            0.036         0.132           0.278    
OperationShutdownGraph                                             73.806            0.000        73.806          73.806    
