"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","96442806","DONE","465376","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1367081733","DONE","21083823","8","0"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1388352272","DONE","21076479","8","1"
"1","OperationAddManyVertices","com.tinkerpop.bench.operation.operations.OperationAddManyVertices$DEX","[100]","1574510","100","21541903","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1387842687","DONE","21093959","8","0"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1377322245","DONE","21093879","8","0"
"4","OperationSetManyVertexProperties","com.tinkerpop.bench.operation.operations.OperationSetManyVertexProperties$DEX","[_property, 100]","1183766","100","21559303","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1385841138","DONE","21103391","8","1"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1380341142","DONE","21103295","8","0"
"7","OperationAddManyEdges","com.tinkerpop.bench.operation.operations.OperationAddManyEdges$DEX","[100]","2359230","100","21568719","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1383950678","DONE","21122831","8","0"
"12","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1380462165","DONE","21122751","8","1"
"10","OperationSetManyEdgeProperties","com.tinkerpop.bench.operation.operations.OperationSetManyEdgeProperties$DEX","[_property, 100]","2649724","100","21588175","0","0"
"13","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","251673841","DONE","21588175","0","0"
"14","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1398067024","DONE","21122815","8","0"
