"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","168172841","DONE","465352","0","0"
"8140","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1442668278","DONE","24822623","8","0"
"8141","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1416599076","DONE","24831127","8","1"
"1","OperationGetManyVertices","com.tinkerpop.bench.operation.operations.OperationGetManyVertices$DEX","[100]","424284","100","25296551","0","0"
"8142","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1422787482","DONE","24831319","8","0"
"2","OperationGetManyEdges","com.tinkerpop.bench.operation.operations.OperationGetManyEdges$DEX","[100]","405901","100","25296663","0","0"
"8143","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1415356669","DONE","24831431","8","0"
"3","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1261, OUT]","603849","1:1:1:1","25296775","0","0"
"4","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1692, OUT]","426971","0:1:1:0","25296935","0","0"
"5","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1983, OUT]","445709","0:1:1:0","25297127","0","0"
"6","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1464, OUT]","725323","1:1:1:1","25297191","0","0"
"7","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1884, OUT]","556268","0:1:1:0","25297127","0","0"
"8","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1270, OUT]","538603","1:1:1:1","25297319","0","0"
"9","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1605, OUT]","267336","0:1:1:0","25297255","0","0"
"10","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1792, OUT]","289646","1:1:1:1","25297447","0","0"
"11","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1029, OUT]","118805","1:1:1:1","25297511","0","0"
"12","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1538, OUT]","86770","1:1:1:1","25297447","0","0"
"13","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1151, OUT]","94203","1:1:1:1","25297511","0","0"
"14","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1759, OUT]","122718","0:1:1:0","25297575","0","0"
"15","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1615, OUT]","112907","1:1:1:1","25297767","0","0"
"16","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1446, OUT]","118126","1:1:1:1","25297703","0","0"
"17","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1440, OUT]","134328","1:1:1:1","25297767","0","0"
"18","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1446, OUT]","70313","1:1:1:1","25297831","0","0"
"19","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1409, OUT]","91044","1:1:1:1","25297895","0","0"
"20","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1881, OUT]","106116","1:1:1:1","25297959","0","0"
"21","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1708, OUT]","159791","1:1:1:1","25298151","0","0"
"22","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1533, OUT]","70579","1:1:1:1","25298087","0","0"
"23","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1067, OUT]","92796","1:1:1:1","25298151","0","0"
"24","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1369, OUT]","148736","1:1:1:1","25298215","0","0"
"25","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1592, OUT]","86990","1:1:1:1","25298407","0","0"
"26","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1194, OUT]","68436","1:1:1:1","25298343","0","0"
"27","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1556, OUT]","68605","1:1:1:1","25298407","0","0"
"28","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1123, OUT]","92288","1:1:1:1","25298471","0","0"
"29","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1736, OUT]","90379","1:1:1:1","25298535","0","0"
"30","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1968, OUT]","115431","0:1:1:0","25298599","0","0"
"31","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1061, OUT]","126033","1:1:1:1","25298791","0","0"
