"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","45762149","DONE","22891759","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1398435478","DONE","21043063","8","1"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1370182438","DONE","21043239","8","1"
"1","OperationCreateKeyIndex-vertex-name","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, name]","9047398","DONE","22439271","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1379204194","DONE","21043631","8","0"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1372117044","DONE","21043591","8","0"
"4","OperationCreateKeyIndex-vertex-age","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, age]","2267044","DONE","22439623","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1371113273","DONE","21043951","8","1"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1372235080","DONE","21043911","8","0"
"7","OperationCreateKeyIndex-edge-time","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[edge, time]","7633851","DONE","22439943","0","0"
"10","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","219139449","DONE","22439943","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1377284870","DONE","21044783","8","0"
