"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","85281024","DONE","23143215","0","0"
"8145","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1478135437","DONE","24697679","8","1"
"8146","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1414073550","DONE","24697855","8","1"
"1","OperationGetManyVertices","com.tinkerpop.bench.operation.operations.OperationGetManyVertices$DEX","[100]","173625","100","26093855","0","0"
"8147","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1405158691","DONE","24698047","8","0"
"2","OperationGetManyEdges","com.tinkerpop.bench.operation.operations.OperationGetManyEdges$DEX","[100]","180470","100","26093967","0","0"
"8148","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1402334884","DONE","24698159","8","0"
"3","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1188, OUT]","135919","1:1:1:1","26094079","0","0"
"4","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1124, OUT]","123947","1:1:1:1","26094239","0","0"
"5","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1055, OUT]","122930","1:1:1:1","26094303","0","0"
"6","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1356, OUT]","171981","1:1:1:1","26094367","0","0"
"7","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1170, OUT]","124061","1:1:1:1","26094431","0","0"
"8","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1237, OUT]","97680","1:1:1:1","26094495","0","0"
"9","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1926, OUT]","163724","0:1:1:0","26094559","0","0"
"10","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1613, OUT]","149716","1:1:1:1","26094751","0","0"
"11","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1718, OUT]","152350","0:1:1:0","26094815","0","0"
"12","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1685, OUT]","113152","0:1:1:0","26094879","0","0"
"13","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1057, OUT]","97424","1:1:1:1","26094943","0","0"
"14","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1415, OUT]","98298","1:1:1:1","26094879","0","0"
"15","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1118, OUT]","122062","1:1:1:1","26094943","0","0"
"16","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1253, OUT]","96607","1:1:1:1","26095007","0","0"
"17","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1056, OUT]","98872","1:1:1:1","26095071","0","0"
"18","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1816, OUT]","117544","0:1:1:0","26095135","0","0"
"19","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1423, OUT]","134695","1:1:1:1","26095327","0","0"
"20","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1754, OUT]","112391","0:1:1:0","26095263","0","0"
"21","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1959, OUT]","113913","0:1:1:0","26095455","0","0"
"22","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1766, OUT]","142511","1:1:1:1","26095519","0","0"
"23","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1369, OUT]","146929","1:1:1:1","26095583","0","0"
"24","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1036, OUT]","96963","1:1:1:1","26095647","0","0"
"25","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1176, OUT]","123655","1:1:1:1","26095583","0","0"
