operation                                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                               1783.557            0.000      1783.557        1783.557    
OperationDoGC                                                    1409.650           23.868      1400.838        1627.710    
OperationGetManyVertices                                            0.258            0.000         0.258           0.258    
OperationGetManyEdges                                               0.340            0.000         0.340           0.340    
OperationGetFirstNeighbor-out                                       0.123            0.017         0.094           0.171    
OperationGetAllNeighbors-out                                        0.119            0.018         0.077           0.161    
OperationGetNeighborEdgeConditional-out                             0.234            0.145         0.089           1.038    
OperationGetFirstNeighbor-in                                        0.126            0.018         0.096           0.198    
OperationGetAllNeighbors-in                                         0.131            0.014         0.104           0.193    
OperationGetNeighborEdgeConditional-in                              0.216            0.039         0.159           0.310    
OperationGetFirstNeighbor-both                                      0.171            0.027         0.115           0.219    
OperationGetAllNeighbors-both                                       0.183            0.030         0.132           0.266    
OperationGetNeighborEdgeConditional-both                            0.303            0.117         0.167           0.967    
OperationGetFirstNeighbor-out-withlabel                             0.116            0.019         0.083           0.180    
OperationGetAllNeighbors-out-withlabel                              0.118            0.021         0.076           0.169    
OperationGetNeighborEdgeConditional-out-withlabel                   0.238            0.118         0.082           0.689    
OperationGetFirstNeighbor-in-withlabel                              0.132            0.016         0.105           0.168    
OperationGetAllNeighbors-in-withlabel                               0.130            0.018         0.086           0.182    
OperationGetNeighborEdgeConditional-in-withlabel                    0.214            0.036         0.153           0.301    
OperationGetFirstNeighbor-both-withlabel                            0.177            0.032         0.129           0.259    
OperationGetAllNeighbors-both-withlabel                             0.190            0.034         0.128           0.310    
OperationGetNeighborEdgeConditional-both-withlabel                  0.340            0.139         0.184           0.976    
OperationGetKHopNeighbors-out-1                                     0.133            0.024         0.076           0.203    
OperationGetKHopNeighborsEdgeConditional-out-1                      0.213            0.104         0.076           0.597    
OperationGetKHopNeighbors-out-2                                     0.277            0.274         0.076           1.758    
OperationGetKHopNeighborsEdgeConditional-out-2                      0.275            0.163         0.062           0.832    
OperationGetKHopNeighbors-out-3                                     0.879            1.576         0.076           8.420    
OperationGetKHopNeighborsEdgeConditional-out-3                      0.259            0.147         0.061           0.804    
OperationGetKHopNeighbors-out-4                                     3.049           10.152         0.080          86.673    
OperationGetKHopNeighborsEdgeConditional-out-4                      0.283            0.185         0.064           1.071    
OperationGetKHopNeighbors-out-5                                     4.898           19.481         0.069         137.430    
OperationGetKHopNeighborsEdgeConditional-out-5                      0.298            0.196         0.061           1.038    
OperationGetKHopNeighbors-in-1                                      0.141            0.026         0.087           0.293    
OperationGetKHopNeighborsEdgeConditional-in-1                       0.179            0.033         0.102           0.257    
OperationGetKHopNeighbors-in-2                                      0.388            0.064         0.244           0.509    
OperationGetKHopNeighborsEdgeConditional-in-2                       0.256            0.052         0.175           0.370    
OperationGetKHopNeighbors-in-3                                      0.965            0.311         0.260           1.600    
OperationGetKHopNeighborsEdgeConditional-in-3                       0.326            0.075         0.201           0.461    
OperationGetKHopNeighbors-in-4                                      2.666            0.667         0.869           4.326    
OperationGetKHopNeighborsEdgeConditional-in-4                       0.437            0.068         0.241           0.582    
OperationGetKHopNeighbors-in-5                                      6.722            1.599         2.477          11.200    
OperationGetKHopNeighborsEdgeConditional-in-5                       0.466            0.099         0.182           0.739    
OperationGetKHopNeighbors-both-1                                    0.162            0.027         0.101           0.236    
OperationGetKHopNeighborsEdgeConditional-both-1                     0.290            0.109         0.119           0.700    
OperationGetKHopNeighbors-both-2                                    0.574            0.261         0.275           1.581    
OperationGetKHopNeighborsEdgeConditional-both-2                     0.514            0.170         0.238           1.266    
OperationGetKHopNeighbors-both-3                                    6.671            6.559         1.509          60.194    
OperationGetKHopNeighborsEdgeConditional-both-3                     0.630            0.506         0.286           5.243    
OperationGetKHopNeighbors-both-4                                  110.087          349.328        13.890        3351.489    
OperationGetKHopNeighborsEdgeConditional-both-4                     0.632            0.237         0.258           1.462    
OperationGetKHopNeighbors-both-5                                 1579.425         2146.571       202.425       12154.683    
OperationGetKHopNeighborsEdgeConditional-both-5                     0.738            0.319         0.312           2.233    
OperationGetKHopNeighbors-out-withlabel-1                           0.102            0.016         0.078           0.149    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1            0.177            0.067         0.062           0.389    
OperationGetKHopNeighbors-out-withlabel-2                           0.167            0.088         0.078           0.579    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2            0.214            0.092         0.065           0.578    
OperationGetKHopNeighbors-out-withlabel-3                           0.446            1.194         0.073          10.991    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3            0.240            0.132         0.063           0.717    
OperationGetKHopNeighbors-out-withlabel-4                           4.631           20.593         0.073         171.775    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4            0.257            0.139         0.062           0.738    
OperationGetKHopNeighbors-out-withlabel-5                           2.311            7.775         0.082          57.549    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-5            0.189            0.093         0.062           0.471    
OperationGetKHopNeighbors-in-withlabel-1                            0.115            0.014         0.088           0.164    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-1             0.165            0.030         0.108           0.237    
OperationGetKHopNeighbors-in-withlabel-2                            0.172            0.031         0.135           0.258    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-2             0.227            0.049         0.125           0.343    
OperationGetKHopNeighbors-in-withlabel-3                            0.411            0.115         0.259           0.678    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-3             0.252            0.058         0.140           0.396    
OperationGetKHopNeighbors-in-withlabel-4                            1.619            0.521         0.417           2.431    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-4             0.334            0.065         0.175           0.470    
OperationGetKHopNeighbors-in-withlabel-5                            6.808            1.695         3.104          10.430    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-5             0.358            0.096         0.156           0.637    
OperationGetKHopNeighbors-both-withlabel-1                          0.142            0.031         0.096           0.223    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-1           0.258            0.082         0.138           0.509    
OperationGetKHopNeighbors-both-withlabel-2                          0.655            0.424         0.260           3.243    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-2           0.438            0.185         0.203           1.634    
OperationGetKHopNeighbors-both-withlabel-3                          6.241            4.374         1.205          25.050    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-3           0.616            0.203         0.256           1.479    
OperationGetKHopNeighbors-both-withlabel-4                         64.363           68.823        15.411         603.749    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-4           0.596            0.210         0.255           1.520    
OperationGetKHopNeighbors-both-withlabel-5                       1293.652         1299.433       203.547        7549.417    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-5           0.798            0.301         0.256           1.999    
OperationGetManyVertexProperties-name                               2.758            0.000         2.758           2.758    
OperationGetManyVertexProperties-age                                4.380            0.000         4.380           4.380    
OperationGetManyEdgeProperties-time                                 3.219            0.000         3.219           3.219    
OperationGetManyVertexPropertySets                                  9.186            0.000         9.186           9.186    
OperationGetManyEdgePropertySets                                    1.687            0.000         1.687           1.687    
OperationGetVerticesUsingKeyIndex-_original_id                      0.170            0.028         0.133           0.256    
OperationGetVerticesUsingKeyIndex-name                              0.217            0.041         0.153           0.317    
OperationGetVerticesUsingKeyIndex-age                               4.094            0.094         3.909           4.449    
OperationGetEdgesUsingKeyIndex-time                                 0.294            0.122         0.158           0.788    
OperationShutdownGraph                                            238.082            0.000       238.082         238.082    
