operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                               1791.445            0.000      1791.445        1791.445    
OperationDoGC                                    1409.750           38.449      1395.985        1567.887    
OperationGetManyVertices                            0.211            0.025         0.120           0.329    
OperationGetManyEdges                               0.254            0.054         0.175           0.337    
OperationGetFirstNeighbor-out                       0.126            0.019         0.071           0.174    
OperationGetAllNeighbors-out                        0.124            0.018         0.090           0.192    
OperationGetNeighborEdgeConditional-out             0.200            0.089         0.069           0.568    
OperationGetFirstNeighbor-in                        0.120            0.022         0.096           0.210    
OperationGetAllNeighbors-in                         0.131            0.021         0.097           0.187    
OperationGetNeighborEdgeConditional-in              0.198            0.027         0.135           0.263    
OperationGetFirstNeighbor-both                      0.185            0.027         0.126           0.259    
OperationGetAllNeighbors-both                       0.177            0.025         0.125           0.239    
OperationGetNeighborEdgeConditional-both            0.296            0.099         0.160           0.752    
OperationGetManyVertexProperties-name               2.223            0.421         1.218           3.472    
OperationGetManyVertexProperties-age                1.573            0.621         0.868           3.326    
OperationGetManyEdgeProperties-time                 2.580            0.571         1.200           5.863    
OperationGetManyVertexPropertySets                  3.393            0.140         3.265           4.416    
OperationGetManyEdgePropertySets                    1.781            0.325         1.028           2.143    
OperationShutdownGraph                            149.626            0.000       149.626         149.626    
