"operation","dex-mean","dex-stdev","dex-min","dex-max"
"OperationOpenGraph","2.368969675E9","0.0","2.368969675E9","2.368969675E9"
"OperationDoGC","1.3888570922424242E9","6239527.920832278","1.380927566E9","1.410803751E9"
"OperationGetKHopNeighbors-out-1","158749.68","30288.231582540433","100085.0","260913.0"
"OperationGetKHopNeighbors-out-2","414614.02","364787.8631053939","74660.0","1954843.0"
"OperationGetKHopNeighbors-out-3","1598516.57","3470559.1860636272","79444.0","2.8010337E7"
"OperationGetKHopNeighbors-out-4","1419011.68","2352723.353884837","72410.0","1.1459311E7"
"OperationGetKHopNeighbors-out-5","4103806.01","1.3233078588324193E7","72091.0","8.7026143E7"
"OperationGetKHopNeighbors-in-1","166481.0","31344.3031426765","116040.0","261798.0"
"OperationGetKHopNeighbors-in-2","675976.99","136523.15604654726","380154.0","840627.0"
"OperationGetKHopNeighbors-in-3","1960542.67","403364.3828261751","937354.0","2849695.0"
"OperationGetKHopNeighbors-in-4","4675743.61","980021.9992848008","2086725.0","7706906.0"
"OperationGetKHopNeighbors-in-5","1.021687134E7","1714306.2703684322","7411928.0","1.5827774E7"
"OperationGetKHopNeighbors-both-1","194514.38","36464.933213096665","103764.0","365015.0"
"OperationGetKHopNeighbors-both-2","1458043.31","792033.6930420662","623088.0","7157800.0"
"OperationGetKHopNeighbors-both-3","1.240569323E7","1.0820032143796418E7","2200170.0","9.150656E7"
"OperationGetKHopNeighbors-both-4","1.3900809119E8","1.0202226901285635E8","2.4833538E7","5.1590795E8"
"OperationGetKHopNeighbors-both-5","1.93795031537E9","1.637165074607968E9","3.75937844E8","9.321060524E9"
"OperationGetKHopNeighbors-out-withlabel-1","79187.06","12228.766463400962","60802.0","152077.0"
"OperationGetKHopNeighbors-out-withlabel-2","165124.63","118892.46262254434","62173.0","858288.0"
"OperationGetKHopNeighbors-out-withlabel-3","210988.68","377144.1838545539","62789.0","3624001.0"
"OperationGetKHopNeighbors-out-withlabel-4","747970.7","2730896.4720027405","66798.0","1.6313713E7"
"OperationGetKHopNeighbors-out-withlabel-5","549375.3","1915897.5856344064","64314.0","1.7148383E7"
"OperationGetKHopNeighbors-in-withlabel-1","88124.02","10684.898525470422","65978.0","132451.0"
"OperationGetKHopNeighbors-in-withlabel-2","180729.4","49388.47556343483","65109.0","285791.0"
"OperationGetKHopNeighbors-in-withlabel-3","294747.47","110645.95336038775","65342.0","589283.0"
"OperationGetKHopNeighbors-in-withlabel-4","506320.98","207208.644365093","64856.0","1010817.0"
"OperationGetKHopNeighbors-in-withlabel-5","840331.71","413349.5194617334","82557.0","2174836.0"
"OperationGetKHopNeighbors-both-withlabel-1","129891.53","25186.307365890298","80700.0","208705.0"
"OperationGetKHopNeighbors-both-withlabel-2","450477.36","235388.9421132829","139827.0","2081826.0"
"OperationGetKHopNeighbors-both-withlabel-3","3116766.46","3166007.4460383737","353700.0","1.7788642E7"
"OperationGetKHopNeighbors-both-withlabel-4","1.475838208E7","1.4989378793018421E7","92580.0","1.09704137E8"
"OperationGetKHopNeighbors-both-withlabel-5","6.607706016E7","6.591580058120111E7","85773.0","4.55464483E8"
"OperationLocalClusteringCoefficient","1506089.3","993686.6303368434","480955.0","7808500.0"
"OperationShutdownGraph","1.07778431E8","0.0","1.07778431E8","1.07778431E8"
