"operation","dex-mean","dex-stdev","dex-min","dex-max"
"OperationOpenGraph","2.260335512E9","0.0","2.260335512E9","2.260335512E9"
"OperationDoGC","1.4157240657472527E9","1.0449229749608016E7","1.40825818E9","1.488724695E9"
"OperationGetManyVertices","244332.0","0.0","244332.0","244332.0"
"OperationGetManyEdges","300923.0","0.0","300923.0","300923.0"
"OperationGetFirstNeighbor-out","129985.33","23671.48330166701","79005.0","220370.0"
"OperationGetAllNeighbors-out","160158.91","29515.374919893864","90108.0","249968.0"
"OperationGetNeighborEdgeConditional-out","243970.9","117736.64484607162","84226.0","655173.0"
"OperationGetFirstNeighbor-in","132452.32","21257.323459401","91796.0","215781.0"
"OperationGetAllNeighbors-in","182032.59","28218.239971725736","133769.0","246130.0"
"OperationGetNeighborEdgeConditional-in","274534.86","47669.08475144451","178877.0","386966.0"
"OperationGetFirstNeighbor-both","184318.44","28528.713544189126","126413.0","267470.0"
"OperationGetAllNeighbors-both","239782.62","44957.89035859668","168780.0","346990.0"
"OperationGetNeighborEdgeConditional-both","452633.53","147504.68451520143","256099.0","946709.0"
"OperationGetFirstNeighbor-out-withlabel","112475.53","20192.887678811567","74196.0","181971.0"
"OperationGetAllNeighbors-out-withlabel","120281.41","23353.605672398855","75455.0","175004.0"
"OperationGetNeighborEdgeConditional-out-withlabel","203384.99","99586.60748469095","82867.0","721911.0"
"OperationGetFirstNeighbor-in-withlabel","141393.23","20676.238367195805","101365.0","202250.0"
"OperationGetAllNeighbors-in-withlabel","129267.9","18677.02682522033","103268.0","187849.0"
"OperationGetNeighborEdgeConditional-in-withlabel","195403.31","30179.37989147391","137927.0","279805.0"
"OperationGetFirstNeighbor-both-withlabel","171011.19","29282.376868585994","101356.0","248862.0"
"OperationGetAllNeighbors-both-withlabel","181561.3","32957.555140361976","100906.0","272718.0"
"OperationGetNeighborEdgeConditional-both-withlabel","335025.62","111383.63540401972","215124.0","876638.0"
"OperationGetKHopNeighbors-out-1","174550.77","42915.75690066644","86546.0","274543.0"
"OperationGetKHopNeighborsEdgeConditional-out-1","254963.98","135503.8549714347","73399.0","799339.0"
"OperationGetKHopNeighbors-out-2","427460.79","416684.52990607393","88802.0","2408982.0"
"OperationGetKHopNeighborsEdgeConditional-out-2","332435.19","182573.77004973605","69677.0","897096.0"
"OperationGetKHopNeighbors-out-3","1193810.18","2433525.5184905026","89079.0","1.8176427E7"
"OperationGetKHopNeighborsEdgeConditional-out-3","383386.16","218824.5794401406","71765.0","1101373.0"
"OperationGetKHopNeighbors-out-4","2256502.78","5749135.539133453","80142.0","3.4122231E7"
"OperationGetKHopNeighborsEdgeConditional-out-4","361967.6","255395.91595646148","71712.0","1092141.0"
"OperationGetKHopNeighbors-out-5","1.830387053E7","8.008598818713997E7","79306.0","6.97710804E8"
"OperationGetKHopNeighborsEdgeConditional-out-5","408193.15","264486.15598232637","84362.0","1462961.0"
"OperationGetKHopNeighbors-in-1","172345.88","30278.493761506692","96108.0","243080.0"
"OperationGetKHopNeighborsEdgeConditional-in-1","268157.34","27017.728577813494","172808.0","343153.0"
"OperationGetKHopNeighbors-in-2","564271.81","154067.1947587607","335411.0","825925.0"
"OperationGetKHopNeighborsEdgeConditional-in-2","370758.47","78440.16638399681","199408.0","512485.0"
"OperationGetKHopNeighbors-in-3","2067315.14","1620103.433234971","850731.0","1.731429E7"
"OperationGetKHopNeighborsEdgeConditional-in-3","521091.91","114951.02554088806","225670.0","719758.0"
"OperationGetKHopNeighbors-in-4","4269720.19","1208097.635728584","1626419.0","6670711.0"
"OperationGetKHopNeighborsEdgeConditional-in-4","539039.8","154324.59632527802","251678.0","969229.0"
"OperationGetKHopNeighbors-in-5","1.208033563E7","3078955.342092096","2347405.0","3.1022229E7"
"OperationGetKHopNeighborsEdgeConditional-in-5","619935.02","167880.39515357238","197223.0","946768.0"
"OperationGetKHopNeighbors-both-1","223110.05","37311.79488268421","142516.0","329050.0"
"OperationGetKHopNeighborsEdgeConditional-both-1","416972.24","98123.3773715642","230218.0","698154.0"
"OperationGetKHopNeighbors-both-2","1129294.15","583773.4821913955","464787.0","4296466.0"
"OperationGetKHopNeighborsEdgeConditional-both-2","647463.85","166853.70428314595","350998.0","1208655.0"
"OperationGetKHopNeighbors-both-3","1.05777673E7","8879763.076888943","2333267.0","6.9937397E7"
"OperationGetKHopNeighborsEdgeConditional-both-3","803039.85","244808.49937501652","319908.0","1378070.0"
"OperationGetKHopNeighbors-both-4","8.788241186E7","6.96154085740979E7","1.8087607E7","3.240818E8"
"OperationGetKHopNeighborsEdgeConditional-both-4","1221506.63","1823585.8531552644","335042.0","1.4745925E7"
"OperationGetKHopNeighbors-both-5","1.78585149276E9","1.674508506956267E9","3.19616955E8","1.0618890209E10"
"OperationGetKHopNeighborsEdgeConditional-both-5","7999782.49","1.0463889133744642E7","399099.0","7.468972E7"
"OperationGetKHopNeighbors-out-withlabel-1","105778.18","17506.68793140496","80648.0","164677.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-1","1883209.58","4477820.773914345","66827.0","1.7411748E7"
"OperationGetKHopNeighbors-out-withlabel-2","144147.84","47811.85198247815","80809.0","284022.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-2","2410281.92","5340644.993542591","64558.0","2.576867E7"
"OperationGetKHopNeighbors-out-withlabel-3","243714.97","308317.387982626","79625.0","2038147.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-3","1679244.96","3664557.4200268546","66745.0","1.5343911E7"
"OperationGetKHopNeighbors-out-withlabel-4","317126.28","492030.1351208091","76324.0","3703387.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-4","2295968.64","4433833.158710862","61338.0","1.9639486E7"
"OperationGetKHopNeighbors-out-withlabel-5","294367.94","593122.9764471414","76795.0","4761375.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-5","1719210.86","4575252.532025118","62498.0","2.8391845E7"
"OperationGetKHopNeighbors-in-withlabel-1","107823.95","17577.73935144961","81666.0","163553.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-1","1559640.1","4998327.2027290845","64106.0","2.7972991E7"
"OperationGetKHopNeighbors-in-withlabel-2","153001.9","35382.15574254911","97277.0","248267.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-2","1710068.52","4454882.149090095","103033.0","2.210966E7"
"OperationGetKHopNeighbors-in-withlabel-3","221441.02","60911.009154335974","116469.0","478637.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-3","1875045.33","5389525.602889386","84571.0","3.494319E7"
"OperationGetKHopNeighbors-in-withlabel-4","428813.36","182303.48127221927","94152.0","886825.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-4","1845949.61","5635078.003752957","108644.0","4.2030676E7"
"OperationGetKHopNeighbors-in-withlabel-5","705893.31","379316.7344275413","104780.0","1917488.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-5","1914661.11","4323231.55664483","65573.0","1.9090395E7"
"OperationGetKHopNeighbors-both-withlabel-1","137206.9","24895.88416485745","89314.0","209345.0"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-1","2205028.29","5016485.342261436","99184.0","2.575196E7"
"OperationGetKHopNeighbors-both-withlabel-2","326628.92","152986.84915225103","137303.0","1209610.0"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-2","2908369.6","5026494.406448136","139836.0","2.533689E7"
"OperationGetKHopNeighbors-both-withlabel-3","1420027.92","1506227.4116230838","132883.0","1.1136772E7"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-3","3774671.52","7942626.024546956","230018.0","6.2474271E7"
"OperationGetKHopNeighbors-both-withlabel-4","1.039371445E7","9827815.308741005","103550.0","6.1047104E7"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-4","2757876.72","4857156.176860502","139344.0","2.6362458E7"
"OperationGetKHopNeighbors-both-withlabel-5","7.592692899E7","1.1793836588791545E8","100535.0","7.33065653E8"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-5","2712610.57","4956652.049871181","233310.0","2.0308025E7"
"OperationGetManyVertexProperties-name","5.39734988E8","0.0","5.39734988E8","5.39734988E8"
"OperationGetManyVertexProperties-age","3.00077307E8","0.0","3.00077307E8","3.00077307E8"
"OperationGetManyEdgeProperties-time","1583143.0","0.0","1583143.0","1583143.0"
