"operation","dex-mean","dex-stdev","dex-min","dex-max"
"OperationOpenGraph","2.247553975E9","0.0","2.247553975E9","2.247553975E9"
"OperationDoGC","1.3877478017096775E9","5859352.030670618","1.379325314E9","1.415964464E9"
"OperationGetKHopNeighbors-out-1","223977.07","62445.369966916696","128973.0","463905.0"
"OperationGetKHopNeighbors-out-2","580160.65","1006036.0362327219","96987.0","6810320.0"
"OperationGetKHopNeighbors-out-3","1808996.58","6057324.22232057","102417.0","5.6053342E7"
"OperationGetKHopNeighbors-out-4","1.033286214E7","8.946133753771512E7","98065.0","9.00041674E8"
"OperationGetKHopNeighbors-out-5","2962158.65","1.0987521856325086E7","94327.0","1.03585492E8"
"OperationGetKHopNeighbors-in-1","249935.82","41001.057139634824","153003.0","321504.0"
"OperationGetKHopNeighbors-in-2","769073.27","130963.52078528242","382976.0","932357.0"
"OperationGetKHopNeighbors-in-3","2175088.72","549937.1411284399","505280.0","3310073.0"
"OperationGetKHopNeighbors-in-4","6093299.69","1696985.2022025867","1776563.0","1.0177887E7"
"OperationGetKHopNeighbors-in-5","1.351341412E7","3390801.4521865095","1613860.0","2.4249608E7"
"OperationGetKHopNeighbors-both-1","295456.85","55237.156972526216","164670.0","469166.0"
"OperationGetKHopNeighbors-both-2","1776559.85","1324213.3919273538","597395.0","1.0155021E7"
"OperationGetKHopNeighbors-both-3","1.949282993E7","1.785185536838318E7","5567700.0","1.16164213E8"
"OperationGetKHopNeighbors-both-4","1.9862532136E8","1.7360155401203477E8","3.2191924E7","9.91957206E8"
"OperationGetKHopNeighbors-both-5","1.90208257307E9","1.1880710819986837E9","4.01827951E8","7.026194119E9"
"OperationGetKHopNeighbors-out-withlabel-1","139938.4","28615.2202315481","99516.0","234529.0"
"OperationGetKHopNeighbors-out-withlabel-2","219216.17","137965.6064015996","104394.0","980991.0"
"OperationGetKHopNeighbors-out-withlabel-3","372769.49","548669.3910435225","93362.0","3499580.0"
"OperationGetKHopNeighbors-out-withlabel-4","386850.5","763225.482016573","95352.0","5829345.0"
"OperationGetKHopNeighbors-out-withlabel-5","499480.82","1734704.1765432933","96445.0","1.6895767E7"
"OperationGetKHopNeighbors-in-withlabel-1","152899.82","28583.06285420791","93827.0","239468.0"
"OperationGetKHopNeighbors-in-withlabel-2","231672.02","46831.58650013472","139025.0","336565.0"
"OperationGetKHopNeighbors-in-withlabel-3","347201.01","124036.94223403727","98864.0","683835.0"
"OperationGetKHopNeighbors-in-withlabel-4","648842.99","275588.409712219","98477.0","1209090.0"
"OperationGetKHopNeighbors-in-withlabel-5","1306995.73","733688.9285276266","126587.0","3821293.0"
"OperationGetKHopNeighbors-both-withlabel-1","196268.09","42750.78793053878","104030.0","333523.0"
"OperationGetKHopNeighbors-both-withlabel-2","440005.57","360962.1110684958","161914.0","3172281.0"
"OperationGetKHopNeighbors-both-withlabel-3","3667213.78","4127440.6888305238","106375.0","2.221823E7"
"OperationGetKHopNeighbors-both-withlabel-4","2.05307413E7","2.7313792764293097E7","105786.0","1.88646047E8"
"OperationGetKHopNeighbors-both-withlabel-5","2.0820108849E8","3.715888961215753E8","3127009.0","3.057623631E9"
"OperationShutdownGraph","2.9008158E8","0.0","2.9008158E8","2.9008158E8"
