"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","2255327709","DONE","23413991","0","0"
"101","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1397704221","DONE","21078279","8","1"
"102","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1383935858","DONE","21078503","8","0"
"1","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[483454, 600964]","25975501798","999887:6:667047:8036228","477231967","11","1872"
"2","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[874015, 344528]","22385350222","999104:6:557154:7070029","394727975","11","1954"
"3","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[602187, 251383]","16484484099","993015:6:397714:5745247","462073455","8","1340"
"4","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[5472143, 590149]","24032631945","999799:6:630992:7791885","583905807","10","1685"
"5","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[599490, 549356]","23078006830","999639:6:595730:7538165","621389871","10","1746"
"6","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[757379, 280130]","16026957055","992079:6:378343:5661639","545600879","8","1420"
"7","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[86358, 806660]","32186522273","1000000:6:907793:9505420","628402431","13","2295"
"8","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[652942, 124403]","16712707703","989165:6:388534:5344373","617385263","8","1642"
"9","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[294852, 776145]","30753591853","999999:6:848526:9175982","640486431","12","2037"
"10","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[772307, 847162]","29724333838","999998:6:816613:8958858","722608735","12","2152"
"11","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[321838, 622850]","26803393074","999971:6:717429:8359105","695329647","11","1982"
"12","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[59198, 720857]","21557284245","999122:5:547722:6968996","597370271","10","1739"
"13","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[325970, 686359]","11715731409","962487:5:264505:4042804","467853967","7","1243"
"14","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[529347, 446332]","20436338473","998777:6:514624:6908201","517659847","9","1485"
"15","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[783667, 883778]","29929001375","999999:6:838985:9078325","662076791","12","2064"
"16","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[847223, 509570]","23362618588","999666:6:597083:7526581","669634479","10","1791"
"17","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[5437335, 632668]","24646355608","999880:6:645536:7889568","604551591","11","1899"
"18","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[326424, 875792]","32158594768","1000000:6:921031:9586062","688308847","13","2220"
"19","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[35863, 316929]","15480337484","990738:5:355093:5524517","593050191","8","1461"
"20","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[449385, 502952]","23582023600","999703:6:612044:7617602","567243215","10","1711"
"21","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[5442490, 752714]","13581926560","979031:5:319597:4614651","533433663","7","1258"
"22","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[5422691, 5495995]","12325327681","962634:5:293159:4072150","435464247","7","1207"
"23","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[5429953, 51224]","9061808841","912235:6:192919:3198145","382047055","6","1036"
"24","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[233785, 235866]","16932041603","993713:6:413203:5829098","467690903","8","1378"
"25","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[495208, 5502236]","33625476812","1000000:6:991504:9951707","679442967","13","2218"
"26","OperationGetShortestPath","com.tinkerpop.bench.operation.operations.OperationGetShortestPath$DEX","[5482487, 866490]","12453502918","964589:5:285954:4102816","581453223","7","1341"
