operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                               3730.343            0.000      3730.343        3730.343    
OperationDoGC                                    1394.301            5.055      1387.587        1427.047    
OperationGetKHopNeighbors-out-1                     2.014            4.827         0.110          22.843    
OperationGetKHopNeighbors-out-2                     7.385           13.928         0.126         100.410    
OperationGetKHopNeighbors-out-3                    25.403           54.943         0.112         317.538    
OperationGetKHopNeighbors-out-4                    56.137          153.387         0.102         846.965    
OperationGetKHopNeighbors-out-5                   132.545          801.104         0.090        7713.944    
OperationGetKHopNeighbors-in-1                      2.172            5.022         0.176          30.720    
OperationGetKHopNeighbors-in-2                      6.563            9.076         0.388          64.768    
OperationGetKHopNeighbors-in-3                      9.038           10.055         1.083          49.963    
OperationGetKHopNeighbors-in-4                     13.651           11.009         2.538          51.674    
OperationGetKHopNeighbors-in-5                     19.157           14.028         2.867          87.628    
OperationGetKHopNeighbors-both-1                    2.239            4.604         0.167          22.808    
OperationGetKHopNeighbors-both-2                   10.177           10.877         0.819          73.667    
OperationGetKHopNeighbors-both-3                  107.665           98.155         9.930         591.687    
OperationGetKHopNeighbors-both-4                  398.404          518.283        41.315        2560.083    
OperationGetKHopNeighbors-both-5                 3097.466         2793.250       584.870       17724.228    
OperationGetKHopNeighbors-out-withlabel-1           0.209            0.080         0.098           0.466    
OperationGetKHopNeighbors-out-withlabel-2           0.327            0.296         0.094           1.967    
OperationGetKHopNeighbors-out-withlabel-3           1.672            4.351         0.093          30.604    
OperationGetKHopNeighbors-out-withlabel-4           1.553            7.045         0.097          53.987    
OperationGetKHopNeighbors-out-withlabel-5          17.726          111.929         0.097        1099.939    
OperationGetKHopNeighbors-in-withlabel-1            0.193            0.036         0.148           0.317    
OperationGetKHopNeighbors-in-withlabel-2            0.395            0.103         0.272           0.685    
OperationGetKHopNeighbors-in-withlabel-3            1.274            0.244         0.579           1.873    
OperationGetKHopNeighbors-in-withlabel-4            5.379            1.187         2.122           8.119    
OperationGetKHopNeighbors-in-withlabel-5           13.271            3.258         5.437          20.124    
OperationGetKHopNeighbors-both-withlabel-1          0.323            0.097         0.169           0.621    
OperationGetKHopNeighbors-both-withlabel-2          1.894            1.342         0.596          10.918    
OperationGetKHopNeighbors-both-withlabel-3         17.798           10.305         3.107          62.002    
OperationGetKHopNeighbors-both-withlabel-4        281.587          335.789        56.264        2768.534    
OperationGetKHopNeighbors-both-withlabel-5       3458.976         3547.234       527.405       25763.625    
OperationShutdownGraph                            306.350            0.000       306.350         306.350    
