"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","100591647","DONE","465480","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1371277923","DONE","21037591","8","0"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1388822530","DONE","21045207","8","1"
"1","OperationCreateKeyIndex-vertex-name","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, name]","52602487","DONE","21510631","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1387200218","DONE","21043887","8","0"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1377723689","DONE","21043847","8","1"
"4","OperationCreateKeyIndex-vertex-age","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, age]","14000691","DONE","21509271","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1378968003","DONE","21044207","8","0"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1386419347","DONE","21044167","8","1"
"7","OperationCreateKeyIndex-edge-time","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[edge, time]","62572007","DONE","21509591","0","0"
"10","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","384793491","DONE","21509591","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1386556455","DONE","21044231","8","0"
