"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","3124267540","DONE","23449631","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1398880706","DONE","21066903","8","0"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1378221860","DONE","21067135","8","0"
"1","OperationAddManyVertices","com.tinkerpop.bench.operation.operations.OperationAddManyVertices$DEX","[100]","1146545","100","22463167","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1383888751","DONE","21084791","8","1"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1379260972","DONE","21084711","8","1"
"4","OperationSetManyVertexProperties","com.tinkerpop.bench.operation.operations.OperationSetManyVertexProperties$DEX","[_property, 100]","3338117","100","22480743","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1384978202","DONE","21094751","8","0"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1378958581","DONE","21094655","8","0"
"7","OperationAddManyEdges","com.tinkerpop.bench.operation.operations.OperationAddManyEdges$DEX","[100]","7828986","100","22490687","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1383190196","DONE","21113911","8","1"
"12","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1374467746","DONE","20963103","8","0"
"10","OperationSetManyEdgeProperties","com.tinkerpop.bench.operation.operations.OperationSetManyEdgeProperties$DEX","[_property, 100]","3476417","100","22359135","0","0"
"13","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","1604279854","DONE","22359135","0","0"
"14","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1381860865","DONE","20963407","8","1"
