operation                                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                                105.467            0.000       105.467         105.467    
OperationDoGC                                                    1413.625            6.587      1406.255        1466.749    
OperationGetManyVertices                                            0.180            0.000         0.180           0.180    
OperationGetManyEdges                                               0.184            0.000         0.184           0.184    
OperationGetFirstNeighbor-out                                       0.089            0.014         0.071           0.133    
OperationGetAllNeighbors-out                                        0.097            0.012         0.072           0.142    
OperationGetNeighborEdgeConditional-out                             0.127            0.026         0.071           0.230    
OperationGetFirstNeighbor-in                                        0.091            0.017         0.069           0.144    
OperationGetAllNeighbors-in                                         0.094            0.014         0.073           0.148    
OperationGetNeighborEdgeConditional-in                              0.117            0.025         0.068           0.211    
OperationGetFirstNeighbor-both                                      0.115            0.019         0.083           0.168    
OperationGetAllNeighbors-both                                       0.124            0.018         0.085           0.193    
OperationGetNeighborEdgeConditional-both                            0.151            0.028         0.103           0.204    
OperationGetFirstNeighbor-out-withlabel                             0.088            0.014         0.069           0.154    
OperationGetAllNeighbors-out-withlabel                              0.092            0.016         0.071           0.145    
OperationGetNeighborEdgeConditional-out-withlabel                   0.123            0.023         0.076           0.177    
OperationGetFirstNeighbor-in-withlabel                              0.105            0.014         0.075           0.141    
OperationGetAllNeighbors-in-withlabel                               0.095            0.019         0.076           0.168    
OperationGetNeighborEdgeConditional-in-withlabel                    0.120            0.020         0.074           0.165    
OperationGetFirstNeighbor-both-withlabel                            0.118            0.018         0.092           0.194    
OperationGetAllNeighbors-both-withlabel                             0.124            0.018         0.091           0.174    
OperationGetNeighborEdgeConditional-both-withlabel                  0.160            0.029         0.114           0.238    
OperationGetKHopNeighbors-out-1                                     0.095            0.018         0.069           0.177    
OperationGetKHopNeighborsEdgeConditional-out-1                      0.098            0.018         0.058           0.171    
OperationGetKHopNeighbors-out-2                                     0.125            0.031         0.072           0.231    
OperationGetKHopNeighborsEdgeConditional-out-2                      0.115            0.024         0.057           0.161    
OperationGetKHopNeighbors-out-3                                     0.170            0.063         0.077           0.418    
OperationGetKHopNeighborsEdgeConditional-out-3                      0.139            0.036         0.057           0.210    
