"operation","dex-mean","dex-stdev","dex-min","dex-max"
"OperationOpenGraph","8.5413885E7","0.0","8.5413885E7","8.5413885E7"
"OperationDoGC","1.413003547E9","3.1547504342127368E7","1.401344706E9","1.542523004E9"
"OperationGetManyVertices","106422.07","32154.402813691006","56915.0","245288.0"
"OperationGetManyEdges","114280.27","18417.210778972476","58679.0","156561.0"
"OperationGetFirstNeighbor-out","91754.09","19547.10386021162","65272.0","152910.0"
"OperationGetAllNeighbors-out","84406.66","14376.790497339805","67386.0","139720.0"
"OperationGetNeighborEdgeConditional-out","116664.85","31865.739472786456","61576.0","232691.0"
"OperationGetFirstNeighbor-in","91012.0","14356.95323597594","64090.0","128826.0"
"OperationGetAllNeighbors-in","86912.16","16978.54509239234","67985.0","145179.0"
"OperationGetNeighborEdgeConditional-in","172485.92","569657.7588670355","66599.0","5835887.0"
"OperationGetFirstNeighbor-both","125085.16","23184.837926852106","85036.0","210247.0"
"OperationGetAllNeighbors-both","122162.97","19963.99237450015","86950.0","176441.0"
"OperationGetNeighborEdgeConditional-both","156064.34","30436.014631097816","109855.0","212397.0"
"OperationGetManyVertexProperties-name","1636128.0","352472.5710942626","757815.0","2017628.0"
"OperationGetManyVertexProperties-age","1397151.89","275146.9086560812","641974.0","1793227.0"
"OperationGetManyEdgeProperties-time","1040716.26","276037.2903915563","617252.0","1395520.0"
"OperationGetManyVertexPropertySets","2268110.84","813636.7993376248","1337399.0","3843730.0"
"OperationGetManyEdgePropertySets","1428009.95","154922.03107339994","617267.0","1707179.0"
"OperationShutdownGraph","7.9268089E7","0.0","7.9268089E7","7.9268089E7"
