operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                 85.414            0.000        85.414          85.414    
OperationDoGC                                    1413.004           31.548      1401.345        1542.523    
OperationGetManyVertices                            0.106            0.032         0.057           0.245    
OperationGetManyEdges                               0.114            0.018         0.059           0.157    
OperationGetFirstNeighbor-out                       0.092            0.020         0.065           0.153    
OperationGetAllNeighbors-out                        0.084            0.014         0.067           0.140    
OperationGetNeighborEdgeConditional-out             0.117            0.032         0.062           0.233    
OperationGetFirstNeighbor-in                        0.091            0.014         0.064           0.129    
OperationGetAllNeighbors-in                         0.087            0.017         0.068           0.145    
OperationGetNeighborEdgeConditional-in              0.172            0.570         0.067           5.836    
OperationGetFirstNeighbor-both                      0.125            0.023         0.085           0.210    
OperationGetAllNeighbors-both                       0.122            0.020         0.087           0.176    
OperationGetNeighborEdgeConditional-both            0.156            0.030         0.110           0.212    
OperationGetManyVertexProperties-name               1.636            0.352         0.758           2.018    
OperationGetManyVertexProperties-age                1.397            0.275         0.642           1.793    
OperationGetManyEdgeProperties-time                 1.041            0.276         0.617           1.396    
OperationGetManyVertexPropertySets                  2.268            0.814         1.337           3.844    
OperationGetManyEdgePropertySets                    1.428            0.155         0.617           1.707    
OperationShutdownGraph                             79.268            0.000        79.268          79.268    
