"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","105467323","DONE","27185191","0","0"
"8344","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1466748889","DONE","24771359","8","0"
"8345","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1423172884","DONE","24771527","8","1"
"1","OperationGetManyVertices","com.tinkerpop.bench.operation.operations.OperationGetManyVertices$DEX","[100]","180299","100","26167527","0","0"
"8346","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1412614503","DONE","24771719","8","1"
"2","OperationGetManyEdges","com.tinkerpop.bench.operation.operations.OperationGetManyEdges$DEX","[100]","184213","100","26167639","0","0"
"8347","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1408043655","DONE","24771831","8","1"
"3","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1368, OUT]","132588","1:1:1:1","26167751","0","0"
"4","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1582, OUT]","123912","1:1:1:1","26167911","0","0"
"5","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1878, OUT]","120956","1:1:1:1","26167975","0","0"
"6","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1233, OUT]","131548","0:1:1:0","26168039","0","0"
"7","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1833, OUT]","120764","1:1:1:1","26168103","0","0"
"8","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1346, OUT]","95743","1:1:1:1","26168167","0","0"
"9","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1497, OUT]","72399","1:1:1:1","26168231","0","0"
"10","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1825, OUT]","92090","1:1:1:1","26168295","0","0"
"11","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1771, OUT]","116189","1:1:1:1","26168359","0","0"
"12","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1092, OUT]","117920","1:1:1:1","26168423","0","0"
"13","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1249, OUT]","91120","1:1:1:1","26168487","0","0"
"14","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1592, OUT]","103900","1:1:1:1","26168551","0","0"
"15","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1203, OUT]","72174","1:1:1:1","26168615","0","0"
"16","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1424, OUT]","73018","1:1:1:1","26168679","0","0"
"17","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1426, OUT]","71590","1:1:1:1","26168743","0","0"
"18","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1442, OUT]","72624","1:1:1:1","26168807","0","0"
"19","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1295, OUT]","91598","1:1:1:1","26168871","0","0"
"20","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1757, OUT]","118136","1:1:1:1","26168935","0","0"
"21","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1824, OUT]","93131","1:1:1:1","26168999","0","0"
"22","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1301, OUT]","92440","1:1:1:1","26169063","0","0"
"23","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1933, OUT]","93305","1:1:1:1","26169127","0","0"
"24","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1146, OUT]","92751","1:1:1:1","26169191","0","0"
"25","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1544, OUT]","72941","1:1:1:1","26169255","0","0"
"26","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1550, OUT]","71959","1:1:1:1","26169319","0","0"
"27","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1899, OUT]","72092","1:1:1:1","26169383","0","0"
"28","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1378, OUT]","91219","1:1:1:1","26169447","0","0"
"29","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1438, OUT]","91627","1:1:1:1","26169511","0","0"
"30","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1994, OUT]","94722","1:1:1:1","26169575","0","0"
"31","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1801, OUT]","92431","1:1:1:1","26169639","0","0"
"32","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1819, OUT]","72347","1:1:1:1","26169703","0","0"
"33","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[2021, OUT]","72327","1:1:1:1","26169767","0","0"
"34","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1447, OUT]","72982","0:1:1:0","26169831","0","0"
"35","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1146, OUT]","72593","1:1:1:1","26169895","0","0"
"36","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1974, OUT]","71155","1:1:1:1","26169959","0","0"
"37","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1549, OUT]","72806","1:1:1:1","26170023","0","0"
"38","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1586, OUT]","94195","1:1:1:1","26170087","0","0"
"39","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1314, OUT]","91493","1:1:1:1","26170151","0","0"
"40","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1199, OUT]","72196","1:1:1:1","26170215","0","0"
"41","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1371, OUT]","73450","1:1:1:1","26170279","0","0"
"42","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1466, OUT]","73087","1:1:1:1","26170343","0","0"
"43","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1439, OUT]","97257","1:1:1:1","26170407","0","0"
"44","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1719, OUT]","96814","1:1:1:1","26170471","0","0"
"45","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1458, OUT]","73982","0:1:1:0","26170535","0","0"
"46","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1809, OUT]","73893","1:1:1:1","26170599","0","0"
"47","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1429, OUT]","72570","1:1:1:1","26170663","0","0"
"48","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1831, OUT]","72252","1:1:1:1","26170727","0","0"
"49","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1182, OUT]","98223","1:1:1:1","26170791","0","0"
"50","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1069, OUT]","95354","1:1:1:1","26170855","0","0"
"51","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1587, OUT]","96706","1:1:1:1","26170919","0","0"
"52","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1578, OUT]","73566","1:1:1:1","26170983","0","0"
"53","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1186, OUT]","97377","1:1:1:1","26171047","0","0"
"54","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1749, OUT]","72852","0:1:1:0","26171111","0","0"
"55","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1088, OUT]","73539","1:1:1:1","26171175","0","0"
"56","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1332, OUT]","73062","1:1:1:1","26171239","0","0"
