"operation","dex-mean","dex-stdev","dex-min","dex-max"
"OperationOpenGraph","9.5495835E7","0.0","9.5495835E7","9.5495835E7"
"OperationDoGC","1.3870886983939395E9","4963364.329310726","1.381333434E9","1.405472973E9"
"OperationGetKHopNeighbors-out-1","85093.53","19147.997504415445","63730.0","143928.0"
"OperationGetKHopNeighbors-out-2","189675.89","50772.62866090252","66978.0","319201.0"
"OperationGetKHopNeighbors-out-3","323893.84","132042.46938835405","64337.0","617359.0"
"OperationGetKHopNeighbors-out-4","584667.59","304300.5658683563","65309.0","1508594.0"
"OperationGetKHopNeighbors-out-5","1453384.1","726850.9640910783","75358.0","3219611.0"
"OperationGetKHopNeighbors-in-1","95531.53","15401.07681589505","64806.0","149716.0"
"OperationGetKHopNeighbors-in-2","177545.74","56880.936297255175","66508.0","363338.0"
"OperationGetKHopNeighbors-in-3","355038.84","143347.87601654377","93061.0","674501.0"
"OperationGetKHopNeighbors-in-4","682683.8","340846.8036183411","72964.0","1473584.0"
"OperationGetKHopNeighbors-in-5","1155415.92","736423.8509208767","65490.0","2862055.0"
"OperationGetKHopNeighbors-both-1","129150.33","17100.84987131049","82591.0","205487.0"
"OperationGetKHopNeighbors-both-2","379440.85","136752.77042220207","147908.0","917752.0"
"OperationGetKHopNeighbors-both-3","1144905.28","426378.6562703645","282080.0","2056376.0"
"OperationGetKHopNeighbors-both-4","4808342.17","1734760.1041799707","681688.0","9459820.0"
"OperationGetKHopNeighbors-both-5","1.157750455E7","3513448.650122143","1770312.0","2.1506475E7"
"OperationGetKHopNeighbors-out-withlabel-1","70971.09","8448.93894651275","56242.0","90114.0"
"OperationGetKHopNeighbors-out-withlabel-2","112575.48","30701.167965886896","55094.0","172843.0"
"OperationGetKHopNeighbors-out-withlabel-3","123681.33","44085.009880015896","56875.0","223763.0"
"OperationGetKHopNeighbors-out-withlabel-4","139440.63","65501.78667084664","58074.0","285139.0"
"OperationGetKHopNeighbors-out-withlabel-5","163021.69","91090.56916802035","57521.0","411029.0"
"OperationGetKHopNeighbors-in-withlabel-1","70155.05","15705.938661776952","55684.0","140171.0"
"OperationGetKHopNeighbors-in-withlabel-2","100565.43","28272.967833340394","58141.0","153703.0"
"OperationGetKHopNeighbors-in-withlabel-3","124426.67","43329.21726596386","57696.0","229760.0"
"OperationGetKHopNeighbors-in-withlabel-4","149220.55","66121.42967365043","55347.0","324710.0"
"OperationGetKHopNeighbors-in-withlabel-5","181875.01","79818.25986257716","58630.0","369437.0"
"OperationGetKHopNeighbors-both-withlabel-1","93051.28","14963.556805839979","62979.0","149711.0"
"OperationGetKHopNeighbors-both-withlabel-2","177871.76","50337.55326694375","83571.0","294241.0"
"OperationGetKHopNeighbors-both-withlabel-3","296503.0","107022.25999248942","68607.0","580484.0"
"OperationGetKHopNeighbors-both-withlabel-4","548190.17","247821.141574324","82551.0","1448395.0"
"OperationGetKHopNeighbors-both-withlabel-5","933147.8","461775.22455138265","82246.0","1819660.0"
"OperationLocalClusteringCoefficient","416946.42","136392.84911703988","203297.0","749727.0"
"OperationShutdownGraph","8.6785476E7","0.0","8.6785476E7","8.6785476E7"
