operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                 95.496            0.000        95.496          95.496    
OperationDoGC                                    1387.089            4.963      1381.333        1405.473    
OperationGetKHopNeighbors-out-1                     0.085            0.019         0.064           0.144    
OperationGetKHopNeighbors-out-2                     0.190            0.051         0.067           0.319    
OperationGetKHopNeighbors-out-3                     0.324            0.132         0.064           0.617    
OperationGetKHopNeighbors-out-4                     0.585            0.304         0.065           1.509    
OperationGetKHopNeighbors-out-5                     1.453            0.727         0.075           3.220    
OperationGetKHopNeighbors-in-1                      0.096            0.015         0.065           0.150    
OperationGetKHopNeighbors-in-2                      0.178            0.057         0.067           0.363    
OperationGetKHopNeighbors-in-3                      0.355            0.143         0.093           0.675    
OperationGetKHopNeighbors-in-4                      0.683            0.341         0.073           1.474    
OperationGetKHopNeighbors-in-5                      1.155            0.736         0.065           2.862    
OperationGetKHopNeighbors-both-1                    0.129            0.017         0.083           0.205    
OperationGetKHopNeighbors-both-2                    0.379            0.137         0.148           0.918    
OperationGetKHopNeighbors-both-3                    1.145            0.426         0.282           2.056    
OperationGetKHopNeighbors-both-4                    4.808            1.735         0.682           9.460    
OperationGetKHopNeighbors-both-5                   11.578            3.513         1.770          21.506    
OperationGetKHopNeighbors-out-withlabel-1           0.071            0.008         0.056           0.090    
OperationGetKHopNeighbors-out-withlabel-2           0.113            0.031         0.055           0.173    
OperationGetKHopNeighbors-out-withlabel-3           0.124            0.044         0.057           0.224    
OperationGetKHopNeighbors-out-withlabel-4           0.139            0.066         0.058           0.285    
OperationGetKHopNeighbors-out-withlabel-5           0.163            0.091         0.058           0.411    
OperationGetKHopNeighbors-in-withlabel-1            0.070            0.016         0.056           0.140    
OperationGetKHopNeighbors-in-withlabel-2            0.101            0.028         0.058           0.154    
OperationGetKHopNeighbors-in-withlabel-3            0.124            0.043         0.058           0.230    
OperationGetKHopNeighbors-in-withlabel-4            0.149            0.066         0.055           0.325    
OperationGetKHopNeighbors-in-withlabel-5            0.182            0.080         0.059           0.369    
OperationGetKHopNeighbors-both-withlabel-1          0.093            0.015         0.063           0.150    
OperationGetKHopNeighbors-both-withlabel-2          0.178            0.050         0.084           0.294    
OperationGetKHopNeighbors-both-withlabel-3          0.297            0.107         0.069           0.580    
OperationGetKHopNeighbors-both-withlabel-4          0.548            0.248         0.083           1.448    
OperationGetKHopNeighbors-both-withlabel-5          0.933            0.462         0.082           1.820    
OperationLocalClusteringCoefficient                 0.417            0.136         0.203           0.750    
OperationShutdownGraph                             86.785            0.000        86.785          86.785    
