"operation","dex-mean","dex-stdev","dex-min","dex-max"
"OperationOpenGraph","9.9968123E7","0.0","9.9968123E7","9.9968123E7"
"OperationDoGC","1.4095304296774194E9","6902261.955169142","1.402962115E9","1.466935543E9"
"OperationGetManyVertices","106967.0","0.0","106967.0","106967.0"
"OperationGetManyEdges","184958.0","0.0","184958.0","184958.0"
"OperationGetFirstNeighbor-out","94073.97","22026.531398953855","69499.0","161102.0"
"OperationGetAllNeighbors-out","107809.16","14810.066123228486","76178.0","157505.0"
"OperationGetNeighborEdgeConditional-out","136092.52","29013.061870295598","75117.0","215966.0"
"OperationGetFirstNeighbor-in","89086.75","19356.583588213598","68991.0","148387.0"
"OperationGetAllNeighbors-in","99694.71","16808.47747851958","75671.0","151068.0"
"OperationGetNeighborEdgeConditional-in","137834.58","28547.301461322048","70006.0","216398.0"
"OperationGetFirstNeighbor-both","108056.91","16519.817137665297","78957.0","170102.0"
"OperationGetAllNeighbors-both","149993.19","22115.310321899175","96283.0","214490.0"
"OperationGetNeighborEdgeConditional-both","180366.73","36356.80092660932","115597.0","267318.0"
"OperationGetFirstNeighbor-out-withlabel","85571.28","9324.69265453827","66560.0","129447.0"
"OperationGetAllNeighbors-out-withlabel","89858.6","15400.101075642327","67328.0","168657.0"
"OperationGetNeighborEdgeConditional-out-withlabel","122769.73","24183.94862128805","70981.0","178885.0"
"OperationGetFirstNeighbor-in-withlabel","95377.77","17812.036095211013","73097.0","186536.0"
"OperationGetAllNeighbors-in-withlabel","88102.7","10618.80368167714","75585.0","110062.0"
"OperationGetNeighborEdgeConditional-in-withlabel","114537.06","26772.502041766667","68940.0","207090.0"
"OperationGetFirstNeighbor-both-withlabel","112207.59","16767.09207709852","82281.0","170390.0"
"OperationGetAllNeighbors-both-withlabel","119684.19","20285.29384539203","81057.0","183158.0"
"OperationGetNeighborEdgeConditional-both-withlabel","140799.22","30884.416337557683","78439.0","203019.0"
"OperationGetKHopNeighbors-out-1","115609.84","16635.427299423358","77707.0","166094.0"
"OperationGetKHopNeighborsEdgeConditional-out-1","120093.01","22825.03583545708","63860.0","181142.0"
"OperationGetKHopNeighbors-out-2","174652.02","48981.97293290256","76850.0","300285.0"
"OperationGetKHopNeighborsEdgeConditional-out-2","164116.8","30975.798983399927","84361.0","213085.0"
"OperationGetKHopNeighbors-out-3","254614.97","106653.36313567004","92962.0","576972.0"
"OperationGetKHopNeighborsEdgeConditional-out-3","174190.48","43707.207252003645","64020.0","330300.0"
"OperationGetKHopNeighbors-out-4","383245.35","215153.7034477155","82186.0","1020188.0"
"OperationGetKHopNeighborsEdgeConditional-out-4","177519.9","51175.5757967607","70481.0","326082.0"
"OperationGetKHopNeighbors-out-5","1078391.17","657642.033594007","82653.0","3792104.0"
"OperationGetKHopNeighborsEdgeConditional-out-5","192303.56","61296.45986797606","71210.0","341841.0"
"OperationGetKHopNeighbors-in-1","120514.2","20814.5188510328","89069.0","190187.0"
"OperationGetKHopNeighborsEdgeConditional-in-1","115160.57","27245.553488690595","62275.0","188348.0"
"OperationGetKHopNeighbors-in-2","158400.07","42511.79093339987","85500.0","318252.0"
"OperationGetKHopNeighborsEdgeConditional-in-2","143585.05","26529.256314633094","64420.0","227212.0"
"OperationGetKHopNeighbors-in-3","261414.7","119899.68563782808","77867.0","641598.0"
"OperationGetKHopNeighborsEdgeConditional-in-3","168704.24","37897.45020924759","79744.0","280628.0"
"OperationGetKHopNeighbors-in-4","497477.88","289687.3034024198","83379.0","1449147.0"
"OperationGetKHopNeighborsEdgeConditional-in-4","171051.5","50430.43499187767","61500.0","270956.0"
"OperationGetKHopNeighbors-in-5","813779.55","615332.2579385932","103625.0","2915957.0"
"OperationGetKHopNeighborsEdgeConditional-in-5","190446.81","55621.327267100496","63766.0","315918.0"
