"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","88217480","DONE","465376","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1365225374","DONE","21087943","8","0"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1361655161","DONE","21080599","8","1"
"1","OperationAddManyVertices","com.tinkerpop.bench.operation.operations.OperationAddManyVertices$DEX","[100]","1571418","100","21546023","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1389667842","DONE","21098079","8","0"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1378135492","DONE","21097999","8","1"
"4","OperationSetManyVertexProperties","com.tinkerpop.bench.operation.operations.OperationSetManyVertexProperties$DEX","[_property, 100]","2356332","100","21563423","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1383036897","DONE","21107511","8","1"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1380056260","DONE","21107415","8","0"
"7","OperationAddManyEdges","com.tinkerpop.bench.operation.operations.OperationAddManyEdges$DEX","[100]","2341203","100","21572839","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1384013980","DONE","21126951","8","1"
"12","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1377174245","DONE","21126871","8","0"
"10","OperationSetManyEdgeProperties","com.tinkerpop.bench.operation.operations.OperationSetManyEdgeProperties$DEX","[_property, 100]","2398293","100","21592295","0","0"
"13","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","280143274","DONE","21592295","0","0"
"14","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1388870664","DONE","21126935","8","1"
