"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","77927852","DONE","465480","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1368463112","DONE","21050839","8","0"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1362697902","DONE","21054031","8","1"
"1","OperationCreateKeyIndex-vertex-name","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, name]","10116665","DONE","21519455","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1391624018","DONE","21053583","8","0"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1379764966","DONE","21053543","8","1"
"4","OperationCreateKeyIndex-vertex-age","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, age]","2605543","DONE","21518967","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1382027724","DONE","21053903","8","1"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1388983790","DONE","21053863","8","0"
"7","OperationCreateKeyIndex-edge-time","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[edge, time]","6293860","DONE","21519287","0","0"
"10","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","108908076","DONE","21519287","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1396539429","DONE","21053399","8","1"
