"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","170521667","DONE","465488","0","0"
"8336","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1438831073","DONE","24900895","8","0"
"8337","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1421836443","DONE","24904183","8","1"
"1","OperationGetManyVertices","com.tinkerpop.bench.operation.operations.OperationGetManyVertices$DEX","[100]","404900","100","25369607","0","0"
"8338","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1423110980","DONE","24904375","8","0"
"2","OperationGetManyEdges","com.tinkerpop.bench.operation.operations.OperationGetManyEdges$DEX","[100]","362081","100","25369719","0","0"
"8339","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1416729170","DONE","24904487","8","0"
"3","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1857, OUT]","658468","1:1:1:1","25369831","0","0"
"4","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1831, OUT]","575172","1:1:1:1","25369991","0","0"
"5","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1079, OUT]","463596","1:1:1:1","25370183","0","0"
"6","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1868, OUT]","246651","1:1:1:1","25370247","0","0"
"7","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1686, OUT]","346794","1:1:1:1","25370311","0","0"
"8","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1560, OUT]","274545","1:1:1:1","25370247","0","0"
"9","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1065, OUT]","378769","1:1:1:1","25370311","0","0"
"10","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[1729, OUT]","190979","1:1:1:1","25370375","0","0"
