"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","45064767","DONE","23453671","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1388799646","DONE","21070183","8","0"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1388911877","DONE","21070359","8","1"
"1","OperationAddManyVertices","com.tinkerpop.bench.operation.operations.OperationAddManyVertices$DEX","[100]","983252","100","22466391","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1380427626","DONE","21088015","8","1"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1384201597","DONE","21087935","8","0"
"4","OperationSetManyVertexProperties","com.tinkerpop.bench.operation.operations.OperationSetManyVertexProperties$DEX","[_property, 100]","1938983","100","22483967","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1386816797","DONE","21097975","8","1"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1383929683","DONE","21097879","8","0"
"7","OperationAddManyEdges","com.tinkerpop.bench.operation.operations.OperationAddManyEdges$DEX","[100]","1936503","100","22493911","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1381288352","DONE","21117135","8","0"
"12","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1383521036","DONE","21117055","8","1"
"10","OperationSetManyEdgeProperties","com.tinkerpop.bench.operation.operations.OperationSetManyEdgeProperties$DEX","[_property, 100]","2196347","100","22513087","0","0"
"13","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","108586314","DONE","22513087","0","0"
"14","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1379470048","DONE","21117119","8","0"
