"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","44703066","DONE","23380135","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1385919490","DONE","21053031","8","1"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1377024814","DONE","21053207","8","0"
"1","OperationCreateKeyIndex-vertex-name","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, name]","7542561","DONE","22449239","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1379194133","DONE","21053599","8","1"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1389181125","DONE","21053559","8","0"
"4","OperationCreateKeyIndex-vertex-age","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, age]","2406464","DONE","22449591","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1381526688","DONE","21053919","8","0"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1384619137","DONE","21053879","8","1"
"7","OperationCreateKeyIndex-edge-time","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[edge, time]","5979292","DONE","22449911","0","0"
"10","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","111592308","DONE","22449911","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1382393322","DONE","21054231","8","0"
