"operation","dex-mean","dex-stdev","dex-min","dex-max"
"OperationOpenGraph","2.471138971E9","0.0","2.471138971E9","2.471138971E9"
"OperationDoGC","1.4145679584444444E9","5.073187178114419E7","1.397550162E9","1.623243253E9"
"OperationGetManyVertices","208566.65","20579.334869414524","121586.0","251190.0"
"OperationGetManyEdges","294519.12","41780.92059811033","185014.0","421143.0"
"OperationGetFirstNeighbor-out","2880121.44","5065822.016424544","105123.0","2.2292274E7"
"OperationGetAllNeighbors-out","1898937.79","4208920.580497744","98549.0","2.1664488E7"
"OperationGetNeighborEdgeConditional-out","4055841.84","8291612.724834533","138005.0","4.7229041E7"
"OperationGetFirstNeighbor-in","5450878.73","9967192.668825172","120858.0","8.2504213E7"
"OperationGetAllNeighbors-in","6211626.9","1.0596500594905855E7","102513.0","8.0863713E7"
"OperationGetNeighborEdgeConditional-in","1.218181401E7","1.5246138255394783E7","172036.0","9.9646194E7"
"OperationGetFirstNeighbor-both","6405670.89","8623895.821637077","135761.0","4.3369869E7"
"OperationGetAllNeighbors-both","4849141.48","5473564.40461502","149710.0","2.2356675E7"
"OperationGetNeighborEdgeConditional-both","9203572.28","1.0918581253106201E7","243444.0","6.0038367E7"
"OperationGetManyVertexProperties-name","6751660.4","1.78095697214781E7","1056476.0","1.26743516E8"
"OperationGetManyVertexProperties-age","4257701.5","1.4023275413538782E7","987328.0","1.38975706E8"
"OperationGetManyEdgeProperties-time","4.273082486E7","2.5513072597675767E7","2516867.0","1.31558388E8"
"OperationGetManyVertexPropertySets","3275160.66","377037.65636199305","1787787.0","4326043.0"
"OperationGetManyEdgePropertySets","1.069165762E7","8727068.050497616","1735279.0","3.6123748E7"
"OperationShutdownGraph","1.6448561E8","0.0","1.6448561E8","1.6448561E8"
