"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","99966598","DONE","465376","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1371663366","DONE","21087943","8","0"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1384970561","DONE","21080599","8","1"
"1","OperationAddManyVertices","com.tinkerpop.bench.operation.operations.OperationAddManyVertices$DEX","[100]","1740393","100","21546023","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1393448156","DONE","21098079","8","1"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1382855230","DONE","21097999","8","0"
"4","OperationSetManyVertexProperties","com.tinkerpop.bench.operation.operations.OperationSetManyVertexProperties$DEX","[_property, 100]","3148751","100","21563423","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1386455524","DONE","21107511","8","1"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1381281020","DONE","21107415","8","0"
"7","OperationAddManyEdges","com.tinkerpop.bench.operation.operations.OperationAddManyEdges$DEX","[100]","5087999","100","21572839","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1392169230","DONE","21126951","8","1"
"12","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1381415184","DONE","21126871","8","1"
"10","OperationSetManyEdgeProperties","com.tinkerpop.bench.operation.operations.OperationSetManyEdgeProperties$DEX","[_property, 100]","3178283","100","21592295","0","0"
"13","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","312900205","DONE","21592295","0","0"
"14","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1392845845","DONE","21126935","8","0"
