"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","88794877","DONE","465480","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1373376698","DONE","21050839","8","0"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1380672596","DONE","21054031","8","1"
"1","OperationCreateKeyIndex-vertex-name","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, name]","48975018","DONE","21519455","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1387545118","DONE","21053583","8","0"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1380271062","DONE","21053543","8","1"
"4","OperationCreateKeyIndex-vertex-age","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, age]","11783347","DONE","21518967","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1390426029","DONE","21053903","8","1"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1386844491","DONE","21053863","8","0"
"7","OperationCreateKeyIndex-edge-time","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[edge, time]","37505223","DONE","21519287","0","0"
"10","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","335382654","DONE","21519287","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1394943001","DONE","21053399","8","1"
