"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","2468653512","DONE","27192855","0","0"
"8345","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1471457564","DONE","24772031","8","1"
"8346","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1415902004","DONE","24772311","8","1"
"1","OperationGetManyVertices","com.tinkerpop.bench.operation.operations.OperationGetManyVertices$DEX","[100]","255276","100","26168311","0","0"
"8347","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1413600092","DONE","24772503","8","0"
"2","OperationGetManyEdges","com.tinkerpop.bench.operation.operations.OperationGetManyEdges$DEX","[100]","345783","100","26168423","0","0"
"8348","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1411074829","DONE","24772615","8","0"
"3","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[501411, OUT]","142882","1:1:1:1","26168535","0","0"
"4","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[433302, OUT]","108343","1:1:1:1","26168703","0","0"
"5","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[626410, OUT]","117087","1:1:1:1","26168767","0","0"
"6","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[610166, OUT]","107914","1:1:1:1","26168831","0","0"
"7","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[627419, OUT]","129968","1:1:1:1","26168895","0","0"
"8","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[500660, OUT]","141569","1:1:1:1","26168959","0","0"
"9","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[130871, OUT]","152574","1:1:1:1","26169023","0","0"
"10","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[133022, OUT]","104125","1:1:1:1","26169087","0","0"
"11","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[853654, OUT]","121371","1:1:1:1","26169151","0","0"
"12","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[6816771, OUT]","115763","1:1:1:1","26169215","0","0"
"13","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[406911, OUT]","135202","1:1:1:1","26169279","0","0"
"14","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[491992, OUT]","140192","1:1:1:1","26169343","0","0"
"15","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[416367, OUT]","140634","1:1:1:1","26169407","0","0"
"16","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[564808, OUT]","110277","1:1:1:1","26169471","0","0"
"17","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[418874, OUT]","108016","1:1:1:1","26169535","0","0"
"18","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[600585, OUT]","105878","1:1:1:1","26169599","0","0"
"19","OperationGetFirstNeighbor-out","com.tinkerpop.bench.operation.operations.OperationGetFirstNeighbor$DEX","[827276, OUT]","143959","1:1:1:1","26169663","0","0"
