operation                                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                               2915.209            0.000      2915.209        2915.209    
OperationDoGC                                                    1431.782          187.254      1403.994        3225.605    
OperationGetManyVertices                                            0.148            0.000         0.148           0.148    
OperationGetManyEdges                                               0.328            0.000         0.328           0.328    
OperationGetFirstNeighbor-out                                       0.117            0.020         0.093           0.199    
OperationGetAllNeighbors-out                                        0.149            0.024         0.111           0.218    
OperationGetNeighborEdgeConditional-out                             0.244            0.051         0.150           0.360    
OperationGetFirstNeighbor-in                                        0.117            0.017         0.090           0.169    
OperationGetAllNeighbors-in                                         0.167            0.018         0.114           0.220    
OperationGetNeighborEdgeConditional-in                              0.347            0.092         0.151           0.582    
OperationGetFirstNeighbor-both                                      0.179            0.027         0.122           0.235    
OperationGetAllNeighbors-both                                       0.251            0.047         0.176           0.342    
OperationGetNeighborEdgeConditional-both                            0.481            0.130         0.247           1.013    
OperationGetFirstNeighbor-out-withlabel                             0.128            0.018         0.094           0.188    
OperationGetAllNeighbors-out-withlabel                              0.126            0.018         0.077           0.171    
OperationGetNeighborEdgeConditional-out-withlabel                   0.192            0.038         0.107           0.311    
OperationGetFirstNeighbor-in-withlabel                              0.134            0.026         0.095           0.231    
OperationGetAllNeighbors-in-withlabel                               0.140            0.019         0.101           0.207    
OperationGetNeighborEdgeConditional-in-withlabel                    0.245            0.061         0.102           0.413    
OperationGetFirstNeighbor-both-withlabel                            0.170            0.026         0.124           0.238    
OperationGetAllNeighbors-both-withlabel                             0.172            0.030         0.116           0.255    
OperationGetNeighborEdgeConditional-both-withlabel                  0.324            0.085         0.185           0.537    
OperationGetKHopNeighbors-out-1                                     0.184            0.033         0.120           0.249    
OperationGetKHopNeighborsEdgeConditional-out-1                      0.277            0.059         0.154           0.389    
OperationGetKHopNeighbors-out-2                                     0.775            0.327         0.187           1.988    
OperationGetKHopNeighborsEdgeConditional-out-2                      0.415            0.107         0.230           0.765    
OperationGetKHopNeighbors-out-3                                     3.335            1.515         0.445           7.638    
OperationGetKHopNeighborsEdgeConditional-out-3                      0.556            0.132         0.276           0.776    
OperationGetKHopNeighbors-out-4                                     9.244            4.298         0.121          24.083    
OperationGetKHopNeighborsEdgeConditional-out-4                      0.780            0.126         0.342           1.003    
OperationGetKHopNeighbors-out-5                                    31.050           13.760         0.138          69.439    
OperationGetKHopNeighborsEdgeConditional-out-5                      0.739            0.215         0.104           1.125    
OperationGetKHopNeighbors-in-1                                      0.176            0.027         0.109           0.260    
OperationGetKHopNeighborsEdgeConditional-in-1                       0.315            0.080         0.152           0.514    
OperationGetKHopNeighbors-in-2                                      0.877            0.307         0.164           1.697    
OperationGetKHopNeighborsEdgeConditional-in-2                       0.548            0.088         0.312           0.735    
OperationGetKHopNeighbors-in-3                                      3.802            1.475         1.142           7.966    
OperationGetKHopNeighborsEdgeConditional-in-3                       0.669            0.161         0.377           1.010    
OperationGetKHopNeighbors-in-4                                      9.887            4.401         2.410          23.462    
OperationGetKHopNeighborsEdgeConditional-in-4                       0.908            0.153         0.419           1.200    
OperationGetKHopNeighbors-in-5                                     29.774           13.192         0.138          87.103    
OperationGetKHopNeighborsEdgeConditional-in-5                       1.071            0.178         0.539           1.425    
OperationGetKHopNeighbors-both-1                                    0.174            0.027         0.135           0.243    
OperationGetKHopNeighborsEdgeConditional-both-1                     0.754            2.440         0.260          22.789    
OperationGetKHopNeighbors-both-2                                    0.879            0.308         0.366           1.857    
OperationGetKHopNeighborsEdgeConditional-both-2                     1.642            3.557         0.526          23.902    
OperationGetKHopNeighbors-both-3                                   11.264            2.966         2.633          17.659    
OperationGetKHopNeighborsEdgeConditional-both-3                     1.998            3.528         0.517          18.627    
OperationGetKHopNeighbors-both-4                                   95.309           30.605        42.444         189.668    
OperationGetKHopNeighborsEdgeConditional-both-4                     2.169            4.598         0.452          23.406    
OperationGetKHopNeighbors-both-5                                 1221.805          369.439       491.290        2198.342    
OperationGetKHopNeighborsEdgeConditional-both-5                     5.320            8.037         0.552          55.589    
OperationGetKHopNeighbors-out-withlabel-1                           0.095            0.014         0.080           0.141    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1            0.145            0.026         0.084           0.221    
OperationGetKHopNeighbors-out-withlabel-2                           0.159            0.045         0.078           0.293    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2            0.653            3.007         0.070          22.808    
OperationGetKHopNeighbors-out-withlabel-3                           0.281            0.124         0.081           0.835    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3            0.911            2.894         0.070          17.743    
OperationGetKHopNeighbors-out-withlabel-4                           0.754            0.421         0.098           2.019    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4            2.478           12.687         0.070         121.719    
OperationGetKHopNeighbors-out-withlabel-5                           2.029            1.318         0.104           6.400    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-5            1.006            3.161         0.081          24.498    
OperationGetKHopNeighbors-in-withlabel-1                            0.116            0.017         0.080           0.199    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-1             0.384            1.628         0.106          15.781    
OperationGetKHopNeighbors-in-withlabel-2                            0.170            0.043         0.093           0.335    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-2             1.121            3.941         0.083          25.158    
OperationGetKHopNeighbors-in-withlabel-3                            0.321            0.124         0.081           0.742    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-3             1.672            4.591         0.082          29.498    
OperationGetKHopNeighbors-in-withlabel-4                            0.807            0.465         0.077           2.131    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-4             1.325            3.010         0.079          16.218    
OperationGetKHopNeighbors-in-withlabel-5                            2.271            1.258         0.100           5.641    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-5             1.127            2.762         0.081          19.226    
OperationGetKHopNeighbors-both-withlabel-1                          0.142            0.029         0.090           0.215    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-1           0.933            3.091         0.149          20.596    
OperationGetKHopNeighbors-both-withlabel-2                          0.346            0.109         0.176           0.670    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-2           0.845            2.902         0.216          24.175    
OperationGetKHopNeighbors-both-withlabel-3                          2.192            0.837         0.476           4.931    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-3           0.974            2.842         0.262          21.969    
OperationGetKHopNeighbors-both-withlabel-4                         10.212            3.759         2.751          19.230    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-4           0.970            2.583         0.280          19.738    
OperationGetKHopNeighbors-both-withlabel-5                         44.586           16.317         0.110          99.872    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-5           1.042            3.385         0.268          23.263    
OperationGetManyVertexProperties-name                               6.592            0.000         6.592           6.592    
OperationGetManyVertexProperties-age                                3.902            0.000         3.902           3.902    
OperationGetManyEdgeProperties-time                                 3.207            0.000         3.207           3.207    
OperationGetManyVertexPropertySets                                 10.779            0.000        10.779          10.779    
OperationGetManyEdgePropertySets                                    3.324            0.000         3.324           3.324    
OperationGetVerticesUsingKeyIndex-_original_id                      0.167            0.027         0.132           0.242    
OperationGetVerticesUsingKeyIndex-name                              0.240            0.045         0.161           0.346    
OperationGetVerticesUsingKeyIndex-age                               4.408            1.018         1.833           8.379    
OperationGetEdgesUsingKeyIndex-time                                 0.551            1.455         0.226          14.928    
OperationGetShortestPath                                        22382.061        11981.583      1115.729       42384.366    
OperationLocalClusteringCoefficient                                 1.194            0.436         0.476           2.237    
OperationShutdownGraph                                            304.366            0.000       304.366         304.366    
