operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                               5577.050            0.000      5577.050        5577.050    
OperationDoGC                                    1392.152            6.072      1382.968        1415.184    
OperationGetKHopNeighbors-out-1                     5.892            6.261         0.093          23.713    
OperationGetKHopNeighbors-out-2                    38.699           22.980         0.275         124.758    
OperationGetKHopNeighbors-out-3                   206.835          106.551         0.128         486.485    
OperationGetKHopNeighbors-out-4                   564.019          357.085        73.845        1698.963    
OperationGetKHopNeighbors-out-5                   332.094          453.471         0.100        2273.103    
OperationGetKHopNeighbors-in-1                      2.519            4.543         0.095          20.339    
OperationGetKHopNeighbors-in-2                     24.185           15.005         0.250          62.453    
OperationGetKHopNeighbors-in-3                    129.923           61.233        27.223         308.698    
OperationGetKHopNeighbors-in-4                    724.780          351.677         0.091        1871.255    
OperationGetKHopNeighbors-in-5                    790.695          889.402        32.810        3651.488    
OperationGetKHopNeighbors-both-1                    0.137            0.022         0.100           0.193    
OperationGetKHopNeighbors-both-2                    1.431            1.554         0.530          11.456    
OperationGetKHopNeighbors-both-3                   20.020            9.488         2.579          47.736    
OperationGetKHopNeighbors-both-4                  127.546           41.614        53.104         302.422    
OperationGetKHopNeighbors-both-5                 1003.756          227.906       528.538        1881.285    
OperationGetKHopNeighbors-out-withlabel-1           0.097            0.011         0.075           0.146    
OperationGetKHopNeighbors-out-withlabel-2           0.293            0.102         0.132           0.543    
OperationGetKHopNeighbors-out-withlabel-3           1.828            0.969         0.091           4.807    
OperationGetKHopNeighbors-out-withlabel-4           8.276            4.370         0.090          18.765    
OperationGetKHopNeighbors-out-withlabel-5          41.937           18.049         8.783          90.161    
OperationGetKHopNeighbors-in-withlabel-1            0.099            0.020         0.072           0.192    
OperationGetKHopNeighbors-in-withlabel-2            0.309            0.100         0.155           0.629    
OperationGetKHopNeighbors-in-withlabel-3            1.748            0.952         0.355           4.462    
OperationGetKHopNeighbors-in-withlabel-4            9.246            3.355         1.265          17.111    
OperationGetKHopNeighbors-in-withlabel-5           37.010           16.347         0.071          86.856    
OperationGetKHopNeighbors-both-withlabel-1          0.133            0.019         0.101           0.180    
OperationGetKHopNeighbors-both-withlabel-2          0.960            0.346         0.348           2.127    
OperationGetKHopNeighbors-both-withlabel-3         12.301            3.116         6.801          21.006    
OperationGetKHopNeighbors-both-withlabel-4        111.552           27.076        51.477         172.701    
OperationGetKHopNeighbors-both-withlabel-5       1003.655          208.102       474.585        1879.700    
OperationLocalClusteringCoefficient                 1.074            0.380         0.407           2.176    
OperationShutdownGraph                            317.506            0.000       317.506         317.506    
