operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                               5528.075            0.000      5528.075        5528.075    
OperationDoGC                                    1425.650           50.491      1409.208        1633.622    
OperationGetManyVertices                            0.226            0.043         0.143           0.411    
OperationGetManyEdges                               0.326            0.030         0.207           0.373    
OperationGetFirstNeighbor-out                      10.746           10.240         0.112          78.953    
OperationGetAllNeighbors-out                        9.364           12.651         0.107         119.548    
OperationGetNeighborEdgeConditional-out            16.185           11.823         0.186          53.371    
OperationGetFirstNeighbor-in                       10.328            8.116         0.130          41.697    
OperationGetAllNeighbors-in                         8.290            7.097         0.143          33.367    
OperationGetNeighborEdgeConditional-in             42.782           26.908         0.198         143.452    
OperationGetFirstNeighbor-both                     15.069           10.783         0.193          78.090    
OperationGetAllNeighbors-both                      15.499            9.772         0.207          44.455    
OperationGetNeighborEdgeConditional-both           45.053           22.586         9.956         130.600    
OperationGetManyVertexProperties-name              12.922           20.548         2.162         182.284    
OperationGetManyVertexProperties-age                6.776           11.009         1.014          69.816    
OperationGetManyEdgeProperties-time               235.564           67.523        98.233         465.986    
OperationGetManyVertexPropertySets                  5.129            4.347         1.935          26.906    
OperationGetManyEdgePropertySets                  116.338           39.753        35.132         230.511    
OperationShutdownGraph                            110.024            0.000       110.024         110.024    
