"operation","dex-mean","dex-stdev","dex-min","dex-max"
"OperationOpenGraph","7.206874993E9","0.0","7.206874993E9","7.206874993E9"
"OperationDoGC","1.3893789246363637E9","6326080.795719401","1.382459193E9","1.417243877E9"
"OperationGetKHopNeighbors-out-1","1.001799582E7","1.194450668050638E7","149520.0","9.3943611E7"
"OperationGetKHopNeighbors-out-2","6.539328957E7","3.362088035108746E7","141151.0","1.49720993E8"
"OperationGetKHopNeighbors-out-3","3.6545690272E8","1.7341025342811885E8","4.7732782E7","9.45847723E8"
"OperationGetKHopNeighbors-out-4","7.7531687405E8","7.436126748981588E8","8493953.0","4.106804642E9"
"OperationGetKHopNeighbors-out-5","2.5085116419E8","4.2932773974869597E8","86977.0","2.152919808E9"
"OperationGetKHopNeighbors-in-1","1.707401002E7","8970418.275565468","162895.0","4.3787868E7"
"OperationGetKHopNeighbors-in-2","1.0940119258E8","4.8934537375898205E7","7355114.0","2.7881565E8"
"OperationGetKHopNeighbors-in-3","6.8349762761E8","2.939561317588951E8","2.54002386E8","1.822620018E9"
"OperationGetKHopNeighbors-in-4","1.95507693167E9","1.4408539364222374E9","2.14665394E8","7.474137827E9"
"OperationGetKHopNeighbors-in-5","4.3282096137E8","7.504836706874954E8","1.6115981E7","4.584355135E9"
"OperationGetKHopNeighbors-both-1","158188.71","32270.553246046158","116409.0","250047.0"
"OperationGetKHopNeighbors-both-2","1637241.72","1270119.3959466259","573143.0","1.3370312E7"
"OperationGetKHopNeighbors-both-3","1.525219512E7","5523041.500939864","6197672.0","4.0528053E7"
"OperationGetKHopNeighbors-both-4","1.8765809521E8","4.902964670752854E7","8.4453525E7","3.26701167E8"
"OperationGetKHopNeighbors-both-5","2.3621958174E9","6.158933701199683E8","9.94730625E8","3.826446293E9"
"OperationGetKHopNeighbors-out-withlabel-1","80030.53","9779.2258870066","64577.0","96187.0"
"OperationGetKHopNeighbors-out-withlabel-2","210846.04","63021.1316043944","65815.0","375700.0"
"OperationGetKHopNeighbors-out-withlabel-3","494403.3","199818.00596970736","62698.0","957524.0"
"OperationGetKHopNeighbors-out-withlabel-4","1169832.73","690038.7785464938","69802.0","3256177.0"
"OperationGetKHopNeighbors-out-withlabel-5","4060043.5","2760743.7092201747","66624.0","1.2518325E7"
"OperationGetKHopNeighbors-in-withlabel-1","83684.57","13581.507958437462","68145.0","140041.0"
"OperationGetKHopNeighbors-in-withlabel-2","243098.57","66341.58203031564","64523.0","387412.0"
"OperationGetKHopNeighbors-in-withlabel-3","528417.99","264644.3657413283","83061.0","1296403.0"
"OperationGetKHopNeighbors-in-withlabel-4","1294137.72","666186.2428547152","82269.0","2882745.0"
"OperationGetKHopNeighbors-in-withlabel-5","3367882.9","2527075.0074176295","66080.0","1.2251099E7"
"OperationGetKHopNeighbors-both-withlabel-1","140302.9","23534.460949212327","92981.0","197376.0"
"OperationGetKHopNeighbors-both-withlabel-2","609873.1","191598.54395195696","236718.0","960198.0"
"OperationGetKHopNeighbors-both-withlabel-3","3404223.79","1613857.6949157647","988146.0","8176185.0"
"OperationGetKHopNeighbors-both-withlabel-4","1.59294071E7","4464788.212853668","4185505.0","2.5832496E7"
"OperationGetKHopNeighbors-both-withlabel-5","8.62019998E7","2.5615444661848508E7","3.2852091E7","1.47271968E8"
"OperationLocalClusteringCoefficient","1636640.98","696664.828335721","618286.0","3926885.0"
"OperationShutdownGraph","3.59912595E8","0.0","3.59912595E8","3.59912595E8"
