"operation","dex-mean","dex-stdev","dex-min","dex-max"
"OperationOpenGraph","7.103762652E9","0.0","7.103762652E9","7.103762652E9"
"OperationDoGC","1.4363844967419355E9","2.446897249478023E8","1.401839631E9","3.779127014E9"
"OperationGetManyVertices","267988.0","0.0","267988.0","267988.0"
"OperationGetManyEdges","363104.0","0.0","363104.0","363104.0"
"OperationGetFirstNeighbor-out","1431467.55","5836182.285251713","95359.0","5.2752193E7"
"OperationGetAllNeighbors-out","5598514.09","5819783.085462512","109854.0","2.0622408E7"
"OperationGetNeighborEdgeConditional-out","7896101.95","9881874.692581818","218771.0","6.8361204E7"
"OperationGetFirstNeighbor-in","1935936.33","4388663.572555149","95511.0","2.4818169E7"
"OperationGetAllNeighbors-in","5442495.26","6953157.664049198","158688.0","4.7349883E7"
"OperationGetNeighborEdgeConditional-in","1.266220078E7","1.2853441354750015E7","244301.0","6.7298826E7"
"OperationGetFirstNeighbor-both","3042141.15","5890970.88485911","135389.0","3.4284624E7"
"OperationGetAllNeighbors-both","7091084.62","6089253.757227394","215085.0","2.6318938E7"
"OperationGetNeighborEdgeConditional-both","1.57302385E7","1.2832435222534442E7","512510.0","6.1705499E7"
"OperationGetFirstNeighbor-out-withlabel","3761979.42","4759653.791894769","98246.0","1.754859E7"
"OperationGetAllNeighbors-out-withlabel","4289330.41","4781604.782316005","99505.0","1.7590188E7"
"OperationGetNeighborEdgeConditional-out-withlabel","6808519.37","1.6666181806177124E7","134491.0","1.33684898E8"
"OperationGetFirstNeighbor-in-withlabel","3612289.51","5065440.09006663","106128.0","2.1864364E7"
"OperationGetAllNeighbors-in-withlabel","2781953.89","4335662.753600665","120845.0","1.6212669E7"
"OperationGetNeighborEdgeConditional-in-withlabel","9767036.49","1.2247008334241748E7","138107.0","8.8847405E7"
"OperationGetFirstNeighbor-both-withlabel","7518214.31","7426149.438076074","168404.0","3.9100012E7"
"OperationGetAllNeighbors-both-withlabel","6946505.57","9385373.703223683","153035.0","7.8124307E7"
"OperationGetNeighborEdgeConditional-both-withlabel","1.212041117E7","1.2012548195892733E7","252440.0","6.4096887E7"
"OperationGetKHopNeighbors-out-1","4111311.42","5470006.224747015","143030.0","2.0426367E7"
"OperationGetKHopNeighborsEdgeConditional-out-1","4933960.22","6514038.664692237","187523.0","3.6719386E7"
"OperationGetKHopNeighbors-out-2","2.851278615E7","1.871942117398567E7","178319.0","1.19095092E8"
"OperationGetKHopNeighborsEdgeConditional-out-2","9615757.84","8587660.846815025","330423.0","3.8488618E7"
"OperationGetKHopNeighbors-out-3","1.4411509511E8","7.360392747674659E7","1.81311E7","3.08903911E8"
"OperationGetKHopNeighborsEdgeConditional-out-3","1.465264806E7","1.4648453063060574E7","248252.0","1.13686496E8"
"OperationGetKHopNeighbors-out-4","3.7433704852E8","3.044314056189378E8","116504.0","1.474457196E9"
"OperationGetKHopNeighborsEdgeConditional-out-4","2.203084929E7","1.3525768900482865E7","151740.0","6.5283879E7"
"OperationGetKHopNeighbors-out-5","2.1747209903E8","3.383266943050947E8","5636514.0","1.729410179E9"
"OperationGetKHopNeighborsEdgeConditional-out-5","3.463176981E7","1.5842068627756016E7","3925126.0","8.7387867E7"
"OperationGetKHopNeighbors-in-1","9835188.48","1.016246251825959E7","160291.0","8.1934689E7"
"OperationGetKHopNeighborsEdgeConditional-in-1","1.966735204E7","1.4214989386264116E7","312843.0","7.673481E7"
"OperationGetKHopNeighbors-in-2","8.499270627E7","3.679330319042508E7","273622.0","1.82650125E8"
"OperationGetKHopNeighborsEdgeConditional-in-2","3.758452529E7","1.4591341394761039E7","6543090.0","7.2279733E7"
"OperationGetKHopNeighbors-in-3","5.7235438849E8","2.325269043743811E8","6.0964509E7","1.152179313E9"
"OperationGetKHopNeighborsEdgeConditional-in-3","7.563990948E7","3.0113802186821632E7","2.1914262E7","2.04265819E8"
"OperationGetKHopNeighbors-in-4","1.62212996131E9","1.3265762663817458E9","1.63913041E8","7.652252627E9"
"OperationGetKHopNeighborsEdgeConditional-in-4","7.622848541E7","2.4919464831494424E7","2.5825059E7","1.47961063E8"
"OperationGetKHopNeighbors-in-5","3.5689710995E8","7.047752990761733E8","4690599.0","5.032673229E9"
"OperationGetKHopNeighborsEdgeConditional-in-5","8.34629988E7","2.7555968741661046E7","150965.0","1.79057062E8"
"OperationGetKHopNeighbors-both-1","199508.87","31766.581750529906","132429.0","278854.0"
"OperationGetKHopNeighborsEdgeConditional-both-1","2.379818084E7","1.372479520734217E7","450992.0","1.03115716E8"
"OperationGetKHopNeighbors-both-2","1425149.09","1828136.5013836692","424614.0","1.9349574E7"
"OperationGetKHopNeighborsEdgeConditional-both-2","4.613791519E7","2.14570015748206E7","815919.0","1.38001603E8"
"OperationGetKHopNeighbors-both-3","1.386664555E7","4535386.544227038","2971568.0","3.1784795E7"
"OperationGetKHopNeighborsEdgeConditional-both-3","4.670984456E7","1.9748806831148982E7","963259.0","1.09168971E8"
"OperationGetKHopNeighbors-both-4","1.3003474034E8","3.6638673916228704E7","2.4782438E7","2.22997203E8"
"OperationGetKHopNeighborsEdgeConditional-both-4","4.663561061E7","2.385713449790438E7","6382308.0","1.19897714E8"
"OperationGetKHopNeighbors-both-5","1.93396848115E9","6.46824637241413E8","8.08281056E8","3.698437643E9"
"OperationGetKHopNeighborsEdgeConditional-both-5","5.376934476E7","2.417883442236515E7","1.2449558E7","1.12375037E8"
"OperationGetKHopNeighbors-out-withlabel-1","101099.07","15943.67344388049","79965.0","157256.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-1","5807216.92","7638449.6389700845","66928.0","4.9142008E7"
"OperationGetKHopNeighbors-out-withlabel-2","180497.29","50155.059964134234","81647.0","318106.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-2","9511446.4","7028834.053988775","79147.0","2.6696966E7"
"OperationGetKHopNeighbors-out-withlabel-3","422555.73","186128.66900039098","98122.0","992978.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-3","1.446734639E7","9692371.930658292","80540.0","3.9466033E7"
"OperationGetKHopNeighbors-out-withlabel-4","909330.44","552752.6670331011","90615.0","2895430.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-4","1.655040717E7","1.1344555142537601E7","89242.0","5.1950231E7"
"OperationGetKHopNeighbors-out-withlabel-5","3007927.14","1751581.237483275","101562.0","9806727.0"
"OperationGetKHopNeighborsEdgeConditional-out-withlabel-5","1.970193622E7","1.8151032904730804E7","116909.0","1.36560421E8"
"OperationGetKHopNeighbors-in-withlabel-1","107350.94","19687.696389786186","81446.0","164009.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-1","7257099.01","1.1902801940982722E7","92172.0","1.03976571E8"
"OperationGetKHopNeighbors-in-withlabel-2","178677.26","44184.68567470407","95811.0","293643.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-2","1.124221036E7","8938541.708846563","232005.0","3.8637347E7"
"OperationGetKHopNeighbors-in-withlabel-3","360769.93","132294.26392948828","103368.0","721853.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-3","1.710755869E7","1.1604139488122925E7","88978.0","5.803926E7"
"OperationGetKHopNeighbors-in-withlabel-4","1031414.19","585450.7905803133","101384.0","3099714.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-4","1.991546049E7","1.251168305486454E7","118948.0","6.2084315E7"
"OperationGetKHopNeighbors-in-withlabel-5","3389400.69","1707353.6293731756","506953.0","7800609.0"
"OperationGetKHopNeighborsEdgeConditional-in-withlabel-5","2.577859454E7","1.830994816470634E7","89270.0","1.50456255E8"
"OperationGetKHopNeighbors-both-withlabel-1","143612.33","23334.620042784067","93429.0","222598.0"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-1","7894739.49","8233519.47007961","210703.0","3.1786935E7"
"OperationGetKHopNeighbors-both-withlabel-2","333203.65","100150.48375882918","193097.0","826796.0"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-2","1.508635219E7","1.1566757508949747E7","368562.0","7.4992617E7"
"OperationGetKHopNeighbors-both-withlabel-3","2672290.05","927561.4764425523","400128.0","5283458.0"
"OperationGetKHopNeighborsEdgeConditional-both-withlabel-3","1.485615949E7","1.4508320157154746E7","275820.0","1.03573882E8"
