"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","5079244984","DONE","23453671","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1404318143","DONE","21070943","8","1"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1385572270","DONE","21071255","8","1"
"1","OperationAddManyVertices","com.tinkerpop.bench.operation.operations.OperationAddManyVertices$DEX","[100]","15477438","100","22467287","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1388733622","DONE","21088911","8","1"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1391381990","DONE","21088831","8","0"
"4","OperationSetManyVertexProperties","com.tinkerpop.bench.operation.operations.OperationSetManyVertexProperties$DEX","[_property, 100]","3282631","100","22484863","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1393010947","DONE","21098871","8","0"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1385596063","DONE","20947807","8","0"
"7","OperationAddManyEdges","com.tinkerpop.bench.operation.operations.OperationAddManyEdges$DEX","[100]","7986385","100","22343839","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1382835458","DONE","20967303","8","0"
"12","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1379465781","DONE","20966983","8","0"
"10","OperationSetManyEdgeProperties","com.tinkerpop.bench.operation.operations.OperationSetManyEdgeProperties$DEX","[_property, 100]","3398408","100","22363015","0","0"
"13","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","1786105030","DONE","22363015","0","0"
"14","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1388451596","DONE","20967287","8","0"
